has_matched_proxy_rejected_hard_control,has_strong_inversion,matched_control_regret_gap_m,n_candidates,n_proxy_good_physical_bad,n_strong_inversion_pairs,pool_best_physical_distance_m,pool_success_available,snapshot,source,strongest_inversion_deceptive_regret_m,strongest_inversion_physical_margin_m,strongest_inversion_proxy_rank_margin,strongest_inversion_score_rank_m,proxy_good_physical_good,proxy_good_physical_bad,proxy_bad_physical_good,proxy_bad_physical_bad
True,True,0.007290809780593183,300,25,616,0.009219459405220608,1,0,cem_final,0.05340764163943003,0.04633953079452155,0.8963210702341138,0.04153509783589223,5,25,64,206
True,True,1.3845674721804646e-06,300,19,536,0.0036338552861115724,1,0,cem_initial,0.058120080282869316,0.05291951211069189,0.822742474916388,0.04353913036531841,11,19,46,224
True,True,0.009882198692142102,300,24,2162,0.008049135341492205,1,1,cem_final,0.19135792253880723,0.17012829186965434,0.959866220735786,0.16330040055715986,6,24,33,237
True,True,0.002190499534846374,300,29,2977,0.010031220802051943,1,1,cem_initial,0.19432958909805123,0.19121689639959183,0.7491638795986623,0.14325279195153368,1,29,6,264
True,True,6.577480218195042e-05,300,5,20,0.24521088062987956,0,2,cem_final,0.026780046342342823,0.024579246806381155,0.939799331103679,0.023099559707669248,25,5,221,49
False,True,0.021477421117430395,300,28,2465,0.21772018401049176,0,2,cem_initial,0.1434005046881816,0.12688517807280641,0.9230769230769231,0.11712477975951362,2,28,5,265
True,True,2.4014419959972333e-05,300,24,2264,0.015217817055122932,1,3,cem_final,0.1633812070314494,0.1448443973028622,0.9665551839464883,0.1400001030786862,6,24,58,212
True,True,0.00030958553231624775,300,29,377,0.07524134369182102,0,3,cem_initial,0.1159605609610616,0.04268489773234457,0.6688963210702341,0.028551771058424463,1,29,0,270
True,True,9.698683981207434e-06,300,24,1061,0.010809668588516383,1,4,cem_final,0.2514975126694493,0.2387816487555072,0.959866220735786,0.2291984387720086,6,24,22,248
True,True,0.000983855735735728,300,29,650,0.2002113016344999,0,4,cem_initial,0.07990316231442829,0.04889417263542295,0.959866220735786,0.046931864703566514,1,29,3,267
False,False,,300,0,0,0.14521203195866553,0,5,cem_final,,,,,30,0,270,0
True,True,7.879065434146515e-06,300,30,30,0.07543820560785103,0,5,cem_initial,0.07003341393513249,0.07003341393513249,0.13377926421404682,0.009369018586639797,0,30,1,269
True,True,0.0007804306132116468,300,30,3487,0.09315912648179896,0,6,cem_final,0.2020536112946998,0.13740774220086183,0.9431438127090301,0.12959526187506032,0,30,1,269
True,True,0.003384765307113541,300,29,4019,0.009516445664736342,1,6,cem_initial,0.20029956095935592,0.15921883298870237,0.959866220735786,0.15282877949082804,1,29,6,264
False,False,,300,0,0,0.0007737591168389871,1,7,cem_final,,,,,30,0,270,0
False,False,,300,0,0,0.0007737591168389871,1,7,cem_initial,,,,,30,0,270,0
True,True,2.996303109059628e-05,300,12,338,0.012404631850765421,1,8,cem_final,0.08017897615004349,0.06951837102549263,0.9464882943143813,0.06579832441543283,18,12,146,124
True,True,0.00011762244150684276,300,28,689,0.027044148147041144,1,8,cem_initial,0.09164091378916674,0.09164091378916674,0.7926421404682275,0.07263845006030942,2,28,8,262
True,True,0.0004013873370465673,300,9,345,0.010798624736442226,1,9,cem_final,0.039406202871724104,0.03646367623741288,0.9297658862876255,0.03390268225418321,21,9,150,120
True,True,0.0005120105245674383,300,26,1804,0.004721760327850936,1,9,cem_initial,0.10522159624579686,0.09152383314168216,0.9464882943143813,0.0866262367193848,4,26,31,239
True,True,0.0002332650032429856,300,15,1182,0.018607248904534402,1,10,cem_final,0.04855776455302478,0.04691522184227152,0.8494983277591973,0.039854402501461425,15,15,155,115
True,True,0.0008390460364284258,300,24,1866,0.015289152175502932,1,10,cem_initial,0.16186239424146182,0.1509797701389634,0.8294314381270902,0.12522736787445793,6,24,27,243
True,True,0.00141395389892085,300,30,90,0.037979273933914724,1,11,cem_final,0.25454677163826434,0.25454677163826434,0.8862876254180602,0.22560165379311053,0,30,3,267
True,True,0.008797907005514416,300,29,1392,0.20081170807072649,0,11,cem_initial,0.13784562721255764,0.07033411590947175,0.8829431438127091,0.06210102541839647,1,29,1,269
False,True,0.03165701918934022,300,30,3093,0.09910999036094875,0,12,cem_final,0.349501801379147,0.349501801379147,0.6287625418060201,0.21975364100093525,0,30,1,269
True,True,0.003561856193944113,300,29,2425,0.23917023042218755,0,12,cem_initial,0.2887242413400827,0.2887242413400827,0.822742474916388,0.2375456968884961,1,29,2,268
True,True,0.0001696867408995939,300,2,14,0.013865389374992682,1,13,cem_final,0.021436013512762198,0.020700211637214857,0.8327759197324414,0.01723863778483779,28,2,263,7
True,True,5.690947143803526e-06,300,13,181,0.005812406267583873,1,13,cem_initial,0.0325589919055266,0.031478062535057194,0.8060200668896321,0.02537195007006282,17,13,131,139
True,True,3.260665174883992e-05,300,17,1589,0.021698035698258535,1,14,cem_final,0.22443108423393998,0.21084347505738796,0.9933110367892977,0.20943315080951244,13,17,87,183
True,True,8.62729022799158e-06,300,29,143,0.17112517674217442,0,14,cem_initial,0.06958731543745308,0.04781425591760147,0.7993311036789298,0.03821942195420318,1,29,0,270
False,False,,300,0,0,0.03042654295845167,1,15,cem_final,,,,,30,0,270,0
False,False,,300,0,0,0.03042654295845167,1,15,cem_initial,,,,,30,0,270,0
True,True,0.00022069203290686623,300,29,2253,0.04909064178965687,0,16,cem_final,0.22570697114913857,0.20412719713801444,0.9230769230769231,0.18842510505047488,1,29,1,269
True,True,0.0003784116862958209,300,28,3638,0.08779709263532631,0,16,cem_initial,0.19644753531574444,0.1690744122336696,0.9431438127090301,0.15946148578560143,2,28,0,270
True,True,0.0008660437960854861,300,28,2243,0.028419020539056573,1,17,cem_final,0.14910139459043642,0.14140197352653996,0.8862876254180602,0.12532281934626452,2,28,6,264
True,True,0.0012509270158483354,300,28,2303,0.035858502050181526,1,17,cem_initial,0.23623596983731815,0.1659471102427777,0.9431438127090301,0.1565119902624191,2,28,3,267
True,True,8.259604000332432e-06,300,15,1521,0.018550743610360413,1,18,cem_final,0.21333769376238157,0.19960177413946492,0.9832775919732442,0.19626395182944043,15,15,161,109
True,True,4.7136170397477084e-05,300,29,707,0.15905811549763516,0,18,cem_initial,0.09206564783577625,0.0759331334305034,0.9331103678929766,0.07085399407060351,1,29,4,266
True,True,1.1591016479572946e-05,300,28,1442,0.02622748020052602,1,19,cem_final,0.24214051451458923,0.22726069026526996,0.9966555183946488,0.22650062106705834,2,28,41,229
True,True,0.0005018677680331263,300,29,571,0.1866614265524142,0,19,cem_initial,0.10545426953606385,0.03706257089151227,0.8729096989966556,0.03235227760095218,1,29,1,269
True,True,0.0001509198606637896,300,28,276,0.0168060980766503,1,20,cem_final,0.08711209409768342,0.08711209409768342,0.7658862876254181,0.06671795835575085,2,28,9,261
False,False,,300,0,0,0.08767564405295136,0,20,cem_initial,,,,,30,0,269,1
True,True,0.00016498039233954487,300,18,96,0.002808020706168439,1,21,cem_final,0.034033363463472244,0.027079002963613298,0.8561872909698997,0.023184698189581954,12,18,67,203
