snapshot,delta_final_minus_initial_selected_physical_distance_m,delta_final_minus_initial_selected_physical_regret_m,delta_final_minus_initial_selected_physical_rank_fraction,delta_final_minus_initial_elite_mean_physical_regret_m,delta_final_minus_initial_elite_excess_regret_m,delta_final_minus_initial_elite_false_rate_above_physical_median,delta_final_minus_initial_elite_physical_top_recall,delta_final_minus_initial_proxy_physical_inversion_fraction,delta_final_minus_initial_selected_verified_inversion
0,0.00556537865100001,-2.0225468109022482e-05,0.24749163879598662,0.0010419586910216765,0.014301050967580085,0.19999999999999996,-0.13333333333333333,0.1526867335562988,0.0
1,-0.023339612684340018,-0.021357527223780273,0.4782608695652174,-0.0497689345658115,0.015898502211138185,-0.06666666666666665,-0.033333333333333326,0.021003344481605346,0.0
2,-0.03872892303710912,-0.06621961965649692,-0.24080267558528423,-0.05219869668694061,-0.0013466308712329934,-0.06666666666666665,-0.03333333333333334,-0.03467112597547378,-1.0
3,0.014135938330672032,0.07415946496737012,0.822742474916388,0.0343512470861769,0.030114007171540072,0.23333333333333334,-0.13333333333333333,0.12133779264214045,0.0
4,0.005760591122903058,0.19516222416888657,0.5986622073578596,0.1285294800972589,-0.024476563762109757,-0.16666666666666663,0.1,-0.06991906220918076,0.0
5,-0.00025958758431798845,-0.07003341393513249,-0.8561872909698997,-0.0697021826592381,0.0007130562184137351,-0.1,0.13333333333333336,nan,-1.0
6,0.24920673909862182,0.16556405828155918,0.882943143812709,0.035839183687810014,-0.0016412404615613468,-0.09999999999999998,0.0,0.012285395763656615,1.0
7,0.0,0.0,-0.8093645484949833,0.0,0.0,0.0,-0.033333333333333326,nan,0.0
8,-0.03857417586036854,-0.023934659564092818,0.7090301003344482,-0.04157723961632315,0.005893560136690838,0.2,-0.23333333333333334,0.20015607580824973,0.0
9,-0.007228169260882069,-0.01330503366947336,0.0769230769230769,-0.025990487127619925,0.003492174398106465,-0.06666666666666671,0.033333333333333326,0.09855072463768122,-1.0
10,-0.0464397762468357,-0.04975787297586717,-0.2909698996655518,-0.030815638685780734,0.02437190558351809,0.26666666666666666,-0.09999999999999999,-0.04722408026755853,-1.0
11,-0.0033771842601405533,0.1594552498766712,-0.4581939799331104,0.1610181782808426,0.004441484457746475,-0.30000000000000004,-0.03333333333333334,0.012899565312516681,0.0
12,0.028595549620219318,0.1686557896814581,0.8260869565217391,0.08283571623516472,0.03157877846802398,0.1333333333333333,-0.16666666666666669,0.10131549609810481,0.0
13,0.013638176281562775,0.005585193174153966,0.6688963210702341,-0.00797576565101414,0.0013433803034860487,0.0,-0.06666666666666665,0.01197324414715717,0.0
14,-0.20080935613565426,-0.051382215091738376,-0.14381270903010035,0.06707353358088011,-0.01580636624607836,0.16666666666666669,-0.13333333333333336,0.026800296070497776,-1.0
15,0.0,0.0,-0.18394648829431437,0.0,0.0,0.0,0.0,nan,0.0
16,0.05129947516363326,0.09000592600930268,0.0903010033444816,0.04716721438212179,-0.009201364884845839,-0.09999999999999998,0.03333333333333334,-0.00963210702341144,0.0
17,0.06791074003970451,0.07535022155082947,0.8662207357859532,-0.026779306188095903,0.021091446664113847,0.06666666666666665,0.0,0.08203974476176756,0.0
18,-0.19567501769797815,-0.05516764581070341,-0.03678929765886285,-0.0013963673014446149,0.004341577018106946,0.19999999999999996,-0.16666666666666669,0.07484949832775922,-1.0
19,-0.0005350601804188782,0.1598988861714693,0.1505016722408027,0.14983919986042904,0.03352065631637467,0.0,-0.16666666666666669,0.03336562518572039,0.0
20,0.00011053265714938698,0.07098007863345045,0.01672240802675584,0.06677228459969081,-0.0032554389998728003,0.33333333333333337,0.033333333333333326,-0.06609607782131222,1.0
21,0.006163179328888758,0.0087890107777625,0.6220735785953178,-0.009620057312836518,0.009817002886089669,-0.06666666666666671,-0.06666666666666665,0.038283166109253086,1.0
22,-0.0037565583321971345,-0.008842541478190238,0.49832775919732447,-0.01746315863036178,0.002548665953605623,-0.033333333333333326,-0.13333333333333333,0.006220735785953169,0.0
23,-0.08068774327140886,-0.08633330048082023,-0.294314381270903,-0.04600992786237515,0.018559467500002085,0.1333333333333333,-0.033333333333333326,0.05745819397993307,0.0
24,0.005894981315890883,-0.00035217062696709517,0.2508361204013378,-0.005216613051924775,-0.00040893703894591404,-0.06666666666666665,0.13333333333333333,-0.007134894091415822,0.0
25,0.008011006039236927,0.012389012588006683,0.6722408026755853,-0.006055489250871713,0.0167627522038278,0.09999999999999998,-0.2333333333333333,0.09632107023411374,0.0
26,0.0,0.0,0.11036789297658867,0.0,0.0,0.0,0.0,nan,0.0
27,-0.018777242018276352,-0.06655352641823759,-0.1505016722408027,-0.047452949715692444,-0.0013270455726237958,-0.23333333333333336,-0.03333333333333333,-0.023127067360848352,-1.0
28,0.04975899485323178,0.06215921743486885,0.48494983277591974,0.021949777607620596,0.025033067355045388,0.3333333333333333,-0.33333333333333337,0.12352285395763657,0.0
29,0.00025670601702831863,0.07606975962821974,0.12709030100334445,0.0007955835476776557,0.007534009461040089,0.13333333333333336,0.0,0.0320512144271477,0.0
30,0.03932888276752658,0.0004302969540609519,-0.23076923076923078,0.031764535012908046,-0.02118871237681863,-0.033333333333333326,0.0,-0.018952062430323213,0.0
31,-0.011624154366879628,-0.008292201719916396,0.15719063545150502,-0.015108563933776773,0.016341914713481058,0.06666666666666665,0.1,0.0968561872909699,0.0
