snapshot,source,n_candidates,selected_candidate,selected_physical_distance_m,selected_physical_regret_m,selected_physical_rank_fraction,selected_success,selected_verified_inversion,physical_oracle_distance_m,physical_oracle_success,elite_mean_physical_regret_m,nonelite_mean_physical_regret_m,elite_excess_regret_m,elite_false_rate_above_physical_median,elite_physical_top_recall,proxy_physical_inversion_fraction
0,cem_initial,300,77,0.027850875728792402,0.02421702044268083,0.24749163879598662,1,1,0.0036338552861115724,1,0.025470738544346314,0.03651297993294711,-0.011042241388600795,0.4,0.16666666666666666,0.39897435897435896
0,cem_final,300,300,0.03341625437979241,0.024196794974571806,0.49498327759197325,1,1,0.009219459405220608,1,0.02651269723536799,0.0232538876563887,0.0032588095789792895,0.6,0.03333333333333333,0.5516610925306578
1,cem_initial,300,277,0.06723029210450408,0.05719907130245214,0.1806020066889632,0,1,0.010031220802051943,1,0.09618604818559746,0.10810031552679278,-0.011914267341195314,0.5333333333333333,0.13333333333333333,0.4778818283166109
1,cem_final,300,586,0.043890679420164065,0.035841544078671864,0.6588628762541806,0,1,0.008049135341492205,1,0.04641711361978596,0.04243287874984309,0.003984234869942871,0.4666666666666667,0.1,0.49888517279821626
2,cem_initial,300,180,0.2987875152753674,0.08106733126487564,0.7357859531772575,0,1,0.21772018401049176,0,0.06731943422534205,0.06624122734838343,0.001078206876958615,0.5666666666666667,0.1,0.5264437012263099
2,cem_final,300,300,0.2600585922382583,0.014847711608378722,0.49498327759197325,0,0,0.24521088062987956,0,0.015120737538401437,0.015389161532675815,-0.0002684239942743784,0.5,0.06666666666666667,0.4917725752508361
3,cem_initial,300,289,0.1644630857559003,0.08922174206407928,0.09698996655518395,0,1,0.07524134369182102,0,0.08797585085097999,0.10547026724521957,-0.017494416394239584,0.36666666666666664,0.3,0.35061315496098105
3,cem_final,300,401,0.17859902408657233,0.1633812070314494,0.919732441471572,0,1,0.015217817055122932,1,0.12232709793715689,0.1097075071598564,0.012619590777300488,0.6,0.16666666666666666,0.4719509476031215
4,cem_initial,300,136,0.25654659013506265,0.05633528850056274,0.2140468227424749,0,1,0.2002113016344999,0,0.05930155531035385,0.05934319854507528,-4.164323472143072e-05,0.6,0.1,0.5636963990897327
4,cem_final,300,300,0.2623071812579657,0.2514975126694493,0.8127090301003345,0,1,0.010809668588516383,1,0.18783103540761276,0.21234924240444394,-0.024518206996831188,0.43333333333333335,0.2,0.4937773368805519
5,cem_initial,300,51,0.14547161954298352,0.07003341393513249,0.8561872909698997,0,1,0.07543820560785103,0,0.0697021826592381,0.07041523887765183,-0.0007130562184137351,0.1,0.06666666666666667,0.4686573968543424
5,cem_final,300,300,0.14521203195866553,0.0,0.0,0,0,0.14521203195866553,0,0.0,0.0,0.0,0.0,0.2,nan
6,cem_initial,300,16,0.026740354967542162,0.017223909302805818,0.020066889632107024,1,0,0.009516445664736342,1,0.11529020639771002,0.1024361433464202,0.012854063051289819,0.6333333333333333,0.03333333333333333,0.5539130434782609
6,cem_final,300,546,0.27594709406616397,0.182787967584365,0.903010033444816,0,1,0.09315912648179896,0,0.15112939008552004,0.13991656749579157,0.011212822589728472,0.5333333333333333,0.03333333333333333,0.5661984392419175
7,cem_initial,300,242,0.0007737591168389871,0.0,0.8093645484949833,1,0,0.0007737591168389871,1,0.0,0.0,0.0,0.0,0.13333333333333333,nan
7,cem_final,300,300,0.0007737591168389871,0.0,0.0,1,0,0.0007737591168389871,1,0.0,0.0,0.0,0.0,0.1,nan
8,cem_initial,300,18,0.07544553970296862,0.04840139155592747,0.06020066889632107,0,1,0.027044148147041144,1,0.06294748877188469,0.07276139169142473,-0.00981390291954004,0.26666666666666666,0.26666666666666666,0.32214046822742476
8,cem_final,300,347,0.03687136384260008,0.024466731991834655,0.7692307692307693,1,1,0.012404631850765421,1,0.021370249155561547,0.02529059193841075,-0.003920342782849202,0.4666666666666667,0.03333333333333333,0.5222965440356745
9,cem_initial,300,147,0.030880086800422615,0.02615832647257168,0.2040133779264214,1,1,0.004721760327850936,1,0.04254245489558115,0.04793923266721877,-0.00539677777163762,0.43333333333333335,0.1,0.4090523968784838
9,cem_final,300,534,0.023651917539540546,0.01285329280309832,0.2809364548494983,1,0,0.010798624736442226,1,0.016551967767961227,0.018456571141492382,-0.0019046033735311552,0.36666666666666664,0.13333333333333333,0.507603121516165
10,cem_initial,300,253,0.08036133409321061,0.06507218191770768,0.45484949832775917,0,1,0.015289152175502932,1,0.055195283066047325,0.07638674356571176,-0.021191460499664437,0.23333333333333334,0.16666666666666666,0.4821850613154961
10,cem_final,300,354,0.03392155784637491,0.01531430894184051,0.16387959866220736,1,0,0.018607248904534402,1,0.02437964438026659,0.021199199296412938,0.0031804450838536537,0.5,0.06666666666666667,0.43496098104793757
11,cem_initial,300,206,0.28673742706311084,0.08592571899238435,0.5919732441471572,0,1,0.20081170807072649,0,0.08524377656738649,0.08645800564542644,-0.0012142290780399467,0.43333333333333335,0.1,0.5100293596898182
11,cem_final,300,300,0.2833602428029703,0.24538096886905555,0.13377926421404682,0,1,0.037979273933914724,1,0.2462619548482291,0.24303469946852257,0.0032272553797065284,0.13333333333333333,0.06666666666666667,0.5229289250023349
12,cem_initial,300,18,0.33252785295216475,0.0933576225299772,0.023411371237458192,0,1,0.23917023042218755,0,0.16619795020132944,0.1834726316545734,-0.017274681453243956,0.43333333333333335,0.2,0.43968784838350056
12,cem_final,300,402,0.36112340257238407,0.2620134122114353,0.8494983277591973,0,1,0.09910999036094875,0,0.24903366643649416,0.23472956942171413,0.014304097014780026,0.5666666666666667,0.03333333333333333,0.5410033444816054
13,cem_initial,300,78,0.016596017161371383,0.01078361089378751,0.11705685618729098,1,0,0.005812406267583873,1,0.017807210265354638,0.020429101773606663,-0.002621891508252025,0.4,0.16666666666666666,0.44644370122630994
13,cem_final,300,369,0.030234193442934158,0.016368804067941476,0.7859531772575251,1,0,0.013865389374992682,1,0.009831444614340499,0.011109955819106475,-0.0012785112047659763,0.4,0.1,0.4584169453734671
14,cem_initial,300,51,0.23858976798436787,0.06746459124219345,0.4214046822742475,0,1,0.17112517674217442,0,0.061638568721068064,0.06880733212239654,-0.007168763401328472,0.3,0.2,0.4762817333273211
14,cem_final,300,300,0.03778041184871361,0.016082376150455078,0.27759197324414714,1,0,0.021698035698258535,1,0.12871210230194818,0.15168723194935502,-0.022975129647406833,0.4666666666666667,0.06666666666666667,0.5030820293978189
15,cem_initial,300,55,0.03042654295845167,0.0,0.18394648829431437,1,0,0.03042654295845167,1,0.0,0.0,0.0,0.0,0.13333333333333333,nan
15,cem_final,300,300,0.03042654295845167,0.0,0.0,1,0,0.03042654295845167,1,0.0,0.0,0.0,0.0,0.13333333333333333,nan
16,cem_initial,300,174,0.1785500139026724,0.09075292126734608,0.18729096989966554,0,1,0.08779709263532631,0,0.12660882898471248,0.11954528754796288,0.007063541436749601,0.6333333333333333,0.06666666666666667,0.5244816053511706
16,cem_final,300,454,0.22984948906630565,0.18075884727664876,0.27759197324414714,0,1,0.04909064178965687,0,0.17377604336683428,0.17591386681493051,-0.0021378234480962377,0.5333333333333333,0.1,0.5148494983277592
17,cem_initial,300,191,0.10960967508978847,0.07375117303960695,0.10033444816053512,0,1,0.035858502050181526,1,0.1121072935409058,0.1441771303979922,-0.032069836857086406,0.26666666666666666,0.2,0.4005128205128205
17,cem_final,300,410,0.177520415129493,0.14910139459043642,0.9665551839464883,0,1,0.028419020539056573,1,0.0853279873528099,0.09630637754578246,-0.01097839019297256,0.3333333333333333,0.2,0.48255256527458806
18,cem_initial,300,222,0.23369003180543696,0.0746319163078018,0.568561872909699,0,1,0.15905811549763516,0,0.06444295076467929,0.07225320393438765,-0.007810253169708362,0.4,0.23333333333333334,0.41723522853957634
18,cem_final,300,374,0.03801501410745881,0.0194642704970984,0.5317725752508361,1,0,0.018550743610360413,1,0.06304658346323468,0.06651525961483609,-0.003468676151601416,0.6,0.06666666666666667,0.49208472686733556
19,cem_initial,300,261,0.2689030548955341,0.08224162834311993,0.5317725752508361,0,1,0.1866614265524142,0,0.07699932935387069,0.08259564469592488,-0.005596315342054195,0.5333333333333333,0.23333333333333334,0.475528997302058
19,cem_final,300,300,0.26836799471511524,0.24214051451458923,0.6822742474916388,0,1,0.02622748020052602,1,0.22683852921429973,0.19891418823997925,0.027924340974320477,0.5333333333333333,0.06666666666666667,0.5088946224877784
20,cem_initial,300,141,0.09555529762477336,0.007879653571821993,0.4816053511705686,0,0,0.08767564405295136,0,0.008037389760126853,0.007970008205157258,6.738155496959462e-05,0.16666666666666666,0.1,0.5756953821226033
20,cem_final,300,300,0.09566583028192274,0.07885973220527244,0.4983277591973244,0,1,0.0168060980766503,1,0.07480967435981767,0.07799773180472087,-0.0031880574449032056,0.5,0.13333333333333333,0.5095993043012911
21,cem_initial,300,161,0.02339764716614706,0.01796379501110488,0.0802675585284281,1,0,0.005433852155042182,1,0.0317387010386428,0.043174057085499616,-0.011435356046856818,0.43333333333333335,0.16666666666666666,0.42762541806020066
