snapshot,returned_proxy_cost,returned_physical_distance_m,returned_success,returned_selection_regret_m,returned_success_gap,physical_oracle_candidate_distance_m,physical_oracle_candidate_success,proxy_better_than_returned_fraction,verified_proxy_rejected_corrective,corrective_physical_advantage_m
0,0.9976963400840759,0.0389548201895651,1,0.029735360784344494,0,0.009219459405220608,1,0.0033333333333333335,1,0.029735360784344494
1,3.8594188690185547,0.0650720155847079,0,0.057022880243215696,1,0.008049135341492205,1,0.006666666666666667,1,0.057022880243215696
2,192.739013671875,0.26059072476965195,0,0.015379844139772392,0,0.24521088062987956,0,0.0,0,0.0
3,1.3476389646530151,0.1748419858426849,0,0.15962416878756197,1,0.015217817055122932,1,0.0033333333333333335,1,0.15962416878756197
4,0.7405591607093811,0.26195464707440985,0,0.25114497848589346,1,0.010809668588516383,1,0.0,1,0.25114497848589346
5,0.9755522012710571,0.14521203195866553,0,0.0,0,0.14521203195866553,0,0.0,0,0.0
6,170.75344848632812,0.23155440219153456,0,0.1383952757097356,0,0.09315912648179896,0,0.0033333333333333335,1,0.1383952757097356
7,0.7722590565681458,0.0007737591168389871,1,0.0,0,0.0007737591168389871,1,0.0,0,0.0
8,1.0424234867095947,0.03137422707690429,1,0.01896959522613887,0,0.012404631850765421,1,0.0,0,0.0
9,2.3892178535461426,0.03433817682516197,1,0.023539552088719745,0,0.010798624736442226,1,0.0033333333333333335,1,0.023539552088719745
10,2.9575178623199463,0.03719481639957387,1,0.01858756749503947,0,0.018607248904534402,1,0.0,0,0.0
11,1.7061307430267334,0.2833602428029703,0,0.24538096886905555,1,0.037979273933914724,1,0.0,1,0.24538096886905555
12,207.2638702392578,0.350416279880185,0,0.2513062895192362,0,0.09910999036094875,0,0.006666666666666667,1,0.2513062895192362
13,0.9330261945724487,0.023347634507034306,1,0.009482245132041624,0,0.013865389374992682,1,0.0033333333333333335,0,0.0
14,0.6155940294265747,0.03841162058765454,1,0.016713584889396,0,0.021698035698258535,1,0.0,0,0.0
15,1.4798296689987183,0.03042654295845167,1,0.0,0,0.03042654295845167,1,0.0,0,0.0
16,195.7595672607422,0.25975306308602153,0,0.21066242129636464,0,0.04909064178965687,0,0.0033333333333333335,1,0.21066242129636464
17,200.16290283203125,0.12397183280427179,0,0.09555281226521523,1,0.028419020539056573,1,0.0033333333333333335,1,0.09555281226521523
18,0.7647751569747925,0.03258963752677608,1,0.014038893916415666,0,0.018550743610360413,1,0.0033333333333333335,0,0.0
19,0.6419241428375244,0.26824777673470335,0,0.24202029653417734,1,0.02622748020052602,1,0.0,1,0.24202029653417734
20,0.9670976400375366,0.10107939207563922,0,0.08427329399898892,1,0.0168060980766503,1,0.0,1,0.08427329399898892
21,1.3556634187698364,0.021924404439958602,1,0.019116383733790165,0,0.002808020706168439,1,0.0033333333333333335,0,0.0
22,1.1807550191879272,0.016214258116539326,1,0.0018984653453723785,0,0.014315792771166947,1,0.0,0,0.0
23,2.1749067306518555,0.03893807047121879,1,0.030932510691308732,0,0.008005559779910059,1,0.006666666666666667,1,0.030932510691308732
24,0.7506983280181885,0.0372211133196249,1,0.01850883739892071,0,0.018712275920704194,1,0.0033333333333333335,0,0.0
25,1.6788160800933838,0.017168506279872098,1,0.012326534011754056,0,0.004841972268118042,1,0.0033333333333333335,0,0.0
26,0.6067081689834595,1.9648904290461352e-15,1,0.0,0,1.9648904290461352e-15,1,0.0,0,0.0
27,168.59031677246094,0.3015984816200791,0,0.0028364422151498925,0,0.2987620394049292,0,0.006666666666666667,0,0.0
28,1.2239030599594116,0.11770880763459196,0,0.09645066994503997,1,0.021258137689552,1,0.0,1,0.09645066994503997
29,1.0988584756851196,0.03301588097586657,1,0.01379912714368195,0,0.019216753832184623,1,0.006666666666666667,0,0.0
30,152.72427368164062,0.22463519554096606,0,0.14920094879915702,0,0.07543424674180903,0,0.01,1,0.14920094879915702
31,1.9267362356185913,0.03497802746087744,1,0.030458267954643042,0,0.004519759506234401,1,0.01,1,0.030458267954643042
