snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor
0,action_diverse,0.22640995686947987,0,0.0,0.0,0.0,0.0,0.0,0.22640995686947987,1.0,0.36998327759197325,6.301733947221143
0,proxy_hard,0.22640995686947987,0,0.0,0.0,0.0,0.0,0.0,0.22640995686947987,1.0,0.9882943143812709,4.868101805003548
0,proxy_rejected_stratified_diverse,0.22640995686947987,0,0.0,0.0,0.0,0.0,0.0,0.22640995686947987,1.0,0.5133779264214047,7.098363375345558
0,random_final_population,0.22640995686947987,0,0.0,0.0,0.0,0.0,0.0,0.22640995686947987,1.0,0.5480769230769231,4.770518520566913
1,action_diverse,0.008707923075003699,1,0.0,0.0,0.0,0.0,1.0,0.008707923075003699,1.0,0.7044314381270904,6.335041563803596
1,proxy_hard,0.008707923075003699,1,0.0,0.0,0.0,0.0,1.0,0.008707923075003699,1.0,0.9882943143812709,5.030012419131131
1,proxy_rejected_stratified_diverse,0.008707923075003699,1,0.0,0.0,0.0,0.0,1.0,0.008707923075003699,1.0,0.49874581939799334,6.4480346872059595
1,random_final_population,0.008707923075003699,1,0.0,0.0,0.0,0.0,1.0,0.008707923075003699,1.0,0.46112040133779264,5.194908224800025
2,action_diverse,0.026341650394433827,1,0.0,0.0,0.003906681037483012,0.0,1.0,0.022434969356950815,1.0,0.6262541806020068,4.841950824453242
2,proxy_hard,0.026341650394433827,1,0.0,0.0,0.0,0.0,1.0,0.026539168712168253,1.0,0.9882943143812709,4.065257167834475
2,proxy_rejected_stratified_diverse,0.026341650394433827,1,0.0,0.0,0.008003150961131234,0.0,1.0,0.018338499433302593,1.0,0.5117056856187291,4.950492369080498
2,random_final_population,0.026341650394433827,1,0.0,0.0,0.006771169530655548,0.0,1.0,0.01957048086377828,1.0,0.685200668896321,3.715480071890964
3,action_diverse,0.004080595707463865,1,0.0,0.0,0.0,0.0,1.0,0.004080595707463865,1.0,0.6145484949832776,4.534379360450176
3,proxy_hard,0.004080595707463865,1,0.0,0.0,0.0,0.0,1.0,0.004080595707463865,1.0,0.9882943143812709,3.911339651478278
3,proxy_rejected_stratified_diverse,0.004080595707463865,1,0.0,0.0,0.0,0.0,1.0,0.004080595707463865,1.0,0.4945652173913043,4.678132275198001
3,random_final_population,0.004080595707463865,1,0.0,0.0,0.0,0.0,1.0,0.004080595707463865,1.0,0.535953177257525,3.820159246176986
4,action_diverse,0.297946688471963,0,1.0,0.023223819958494984,0.023223819958494984,0.0,0.0,0.274722868513468,1.0,0.4958193979933111,8.021421498879203
4,proxy_hard,0.297946688471963,0,0.0,0.0,0.01889299892893548,0.0,0.0,0.2790536895430275,1.0,0.9882943143812709,6.767427661196021
4,proxy_rejected_stratified_diverse,0.297946688471963,0,1.0,0.0382155332494829,0.0382155332494829,0.0,0.0,0.2597311552224801,1.0,0.4845317725752509,9.048015178413529
4,random_final_population,0.297946688471963,0,1.0,0.03171186188925135,0.03171186188925135,0.0,0.0,0.26623482658271164,0.875,0.3239966555183946,6.201418755685362
5,action_diverse,0.16751469988914158,0,0.0,0.0,0.0011478836874556642,0.0,0.0,0.16636681620168592,1.0,0.669732441471572,4.945321515555731
5,proxy_hard,0.16751469988914158,0,0.0,0.0,0.001014092953014245,0.0,0.0,0.16650060693612734,1.0,0.9882943143812709,3.9024834668315647
5,proxy_rejected_stratified_diverse,0.16751469988914158,0,0.0,0.0,0.0011478836874556642,0.0,0.0,0.16636681620168592,1.0,0.4933110367892976,5.239201873615576
5,random_final_population,0.16751469988914158,0,0.0,0.0,0.00020691993169658085,0.0,0.0,0.167307779957445,1.0,0.4740802675585284,3.6707871815419972
6,action_diverse,1.6078445462138373e-13,1,0.0,0.0,0.0,0.0,1.0,1.6078445462138373e-13,1.0,0.5752508361204014,5.628647036538297
6,proxy_hard,1.6078445462138373e-13,1,0.0,0.0,0.0,0.0,1.0,1.6078445462138373e-13,1.0,0.9882943143812709,4.710090015395766
6,proxy_rejected_stratified_diverse,1.6078445462138373e-13,1,0.0,0.0,0.0,0.0,1.0,1.6078445462138373e-13,1.0,0.4845317725752508,5.758708600834511
