snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,best_improvement_per_query_m,any_success_gain,selected_success_any,best_selected_distance_m,native_rejected_fraction,auxiliary_prefers_fraction,directional_positive_fraction,mean_crod_score,mean_native_rank_fraction,mean_auxiliary_rank_fraction,mean_action_distance_from_anchor
0,action_diverse,0.01702026613306966,1,0.0,0.0,0.0009534400559439403,0.00011918000699299254,0.0,1.0,0.01606682607712572,1.0,0.125,0.125,0.0036000000000000008,0.6054166666666667,0.5874999999999999,7.201865516097566
0,crod_directional,0.01702026613306966,1,0.0,0.0,0.0,0.0,0.0,1.0,0.02441094442657652,1.0,1.0,1.0,0.03573611111111112,0.4654166666666667,0.052083333333333336,4.835752915110254
0,dino_best_rejected,0.01702026613306966,1,0.0,0.0,0.0012619730335691366,0.00015774662919614208,0.0,1.0,0.015758293099500522,1.0,1.0,1.0,0.01711527777777778,0.14166666666666666,0.011666666666666667,4.814396033293451
0,native_uncertainty_diverse,0.01702026613306966,1,0.0,0.0,0.004381303660388769,0.0005476629575485962,0.0,1.0,0.01263896247268089,1.0,0.0,0.0,0.0,0.44625,0.5133333333333334,6.813971950227527
0,random_rejected,0.01702026613306966,1,0.0,0.0,0.0,0.0,0.0,1.0,0.020971841117488614,1.0,0.25,0.25,0.0013250000000000015,0.5408333333333333,0.35958333333333337,5.607253064139408
0,rejected_action_diverse,0.01702026613306966,1,0.0,0.0,0.0009534400559439403,0.00011918000699299254,0.0,1.0,0.01606682607712572,1.0,0.125,0.125,0.0036000000000000008,0.6054166666666667,0.5874999999999999,7.201865516097566
1,action_diverse,0.02882864633946894,1,1.0,0.023345243537569813,0.023345243537569813,0.0029181554421962267,0.0,1.0,0.005483402801899125,1.0,0.375,0.375,0.0605,0.5858333333333333,0.5366666666666666,5.690305852808088
1,crod_directional,0.02882864633946894,1,0.0,0.0,0.017870656989663884,0.0022338321237079855,0.0,1.0,0.010957989349805056,1.0,1.0,1.0,0.3076861111111111,0.8766666666666667,0.05541666666666666,5.061635712100793
1,dino_best_rejected,0.02882864633946894,1,0.0,0.0,0.013906715648127234,0.0017383394560159043,0.0,1.0,0.014921930691341704,1.0,1.0,1.0,0.15548333333333333,0.3933333333333333,0.011666666666666667,5.111354413022192
1,native_uncertainty_diverse,0.02882864633946894,1,0.0,0.0,0.017024153190821727,0.002128019148852716,0.0,1.0,0.011804493148647214,1.0,0.5,0.5,0.029974999999999998,0.26375000000000004,0.46375,5.339124183791657
1,random_rejected,0.02882864633946894,1,0.0,0.0,0.019921136669769163,0.0024901420837211453,0.0,1.0,0.008907509669699777,1.0,0.875,0.875,0.12084999999999999,0.5679166666666666,0.21166666666666667,5.102390322882878
1,rejected_action_diverse,0.02882864633946894,1,1.0,0.023345243537569813,0.023345243537569813,0.0029181554421962267,0.0,1.0,0.005483402801899125,1.0,0.375,0.375,0.0605,0.5858333333333333,0.5366666666666666,5.690305852808088
2,action_diverse,2.866541797215536e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,2.866541797215536e-11,1.0,0.625,0.625,0.08127222222222223,0.46249999999999997,0.29375,5.419046589318179
2,crod_directional,2.866541797215536e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,2.866541797215536e-11,1.0,1.0,1.0,0.2725152777777778,0.82125,0.06166666666666667,4.756499330909076
2,dino_best_rejected,2.866541797215536e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,2.866541797215536e-11,1.0,1.0,1.0,0.10508055555555557,0.27708333333333335,0.011666666666666667,4.180045599002899
2,native_uncertainty_diverse,2.866541797215536e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,2.866541797215536e-11,1.0,0.5,0.5,0.055166666666666676,0.5766666666666667,0.4720833333333333,5.163353294632357
2,random_rejected,2.866541797215536e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,2.866541797215536e-11,1.0,0.75,0.75,0.06635972222222222,0.42916666666666664,0.3104166666666667,4.48500586191707
