dataset,task,model,regime,n_transitions,n_boundary,boundary_threshold,mean_boundary_score,bb,bb_lo,bb_hi,bb_boundary,bb_boundary_lo,bb_boundary_hi,status
droid,all,dino_wm_droid,contact_manipulation,1000,225,323.64747619628906,262.0511779785156,0.28591578764744324,0.2380869973575353,0.33191586760772057,0.4205339871482182,0.30965622026500655,0.5422115330833099,ok
droid,all,dino_wm_droid,free_space,409,229,323.64747619628906,366.8332824707031,0.6372495308152706,0.5370204794456839,0.7531593343800318,0.9626182504830096,0.7929734350361534,1.153060629395282,ok
droid,all,dino_wm_droid,gripper_actuation,400,30,323.64747619628906,185.09933471679688,0.3922802272103446,0.3256249781054784,0.4587513035638825,1.0883637107492596,0.7863453822952521,1.3882774332359444,ok
droid,all,dino_wm_droid,pre_grasp,522,99,323.64747619628906,239.94528198242188,0.8870832587786155,0.7528774718719586,1.0318744207876727,1.9158086754286876,1.560076323274949,2.2786298969659877,ok
droid,all,jepa_wm_droid,contact_manipulation,1000,232,57.029117584228516,47.59615707397461,0.3832021635431838,0.3185613474179026,0.4554406335233461,0.8972704531443734,0.7082235055072189,1.075309936447145,ok
droid,all,jepa_wm_droid,free_space,405,236,57.029117584228516,64.45691680908203,0.7705147393543937,0.6206716035763021,0.9452330635725101,1.1026388333349313,0.8832300391961831,1.3672791100829056,ok
droid,all,jepa_wm_droid,gripper_actuation,400,13,57.029117584228516,30.560800552368164,0.3979479422920011,0.33137416265805575,0.4676541742190924,1.057268019193337,0.6204651109017632,1.5018606791943367,ok
droid,all,jepa_wm_droid,pre_grasp,526,102,57.029117584228516,42.50929260253906,0.6312963625724769,0.5463605681269975,0.7200004287656511,1.2053492822684189,1.012597497258954,1.402667504882052,ok
droid,all,vjepa2_ac_droid,contact_manipulation,1000,234,98.75496292114258,79.56233215332031,0.2389288623222151,0.19029249496433476,0.29490060124386946,0.3901635999268467,0.3027632543775538,0.48268463215655305,ok
droid,all,vjepa2_ac_droid,free_space,344,186,98.75496292114258,105.10611724853516,0.7046198238875214,0.5773324644196876,0.8307759031262877,1.0104546676524058,0.8198240373527492,1.215450414584763,ok
droid,all,vjepa2_ac_droid,gripper_actuation,400,30,98.75496292114258,60.9709587097168,0.39995306395453967,0.33731618801849356,0.4632306657057629,0.6433867192788726,0.43289173346836207,0.8608648958636443,ok
droid,all,vjepa2_ac_droid,pre_grasp,587,133,98.75496292114258,72.0303726196289,0.9610408249033044,0.849402745632211,1.0748043361630957,1.9325491623267013,1.6678566295379762,2.2384884062225665,ok
droid,all,vjepa2_ac_oss,contact_manipulation,1000,234,98.75496292114258,79.56233215332031,0.40414274165329767,0.3296418723358813,0.4881845165604312,0.5953246614443296,0.47456494366973795,0.73003968902438,ok
droid,all,vjepa2_ac_oss,free_space,344,186,98.75496292114258,105.10611724853516,0.5904702111903977,0.4792163461600983,0.7121033931930211,0.8194715441556646,0.6429490284325092,1.0278828240794393,ok
droid,all,vjepa2_ac_oss,gripper_actuation,400,30,98.75496292114258,60.9709587097168,0.4512433758391975,0.37303867090301857,0.5296497362700674,0.8277333774661592,0.5275261640978781,1.1251697940572085,ok
droid,all,vjepa2_ac_oss,pre_grasp,587,133,98.75496292114258,72.0303726196289,0.7177884445236485,0.6142378451637972,0.8357935145479086,1.559596970722899,1.278955184836696,1.8872586344908175,ok
