dataset,task,model,strategy,regime,n_transitions,n_effect,effect_threshold,cra_top1,cra_top1_lo,cra_top1_hi,cra_top1_eff,cra_top1_eff_lo,cra_top1_eff_hi,cra_mrr,cra_mrr_lo,cra_mrr_hi,aug,aug_lo,aug_hi,ecs,ecs_lo,ecs_hi,status
droid,all,dino_wm_droid,random,free_space,409,0,619.128662109375,0.1271393643031785,0.09701449450208542,0.16351779193535854,,,,0.23756112620088757,0.20805928313650976,0.26759851715105215,0.046462395226168456,0.01706877038540209,0.09007156603465426,,,,ok
droid,all,dino_wm_droid,opposite,free_space,409,0,619.128662109375,0.4058679706601467,0.3532391138273491,0.4608316668115816,,,,0.5507143594616054,0.5055966286358389,0.5929867208693995,0.03265657124717544,0.008883083744497875,0.05963224536514356,,,,ok
droid,all,dino_wm_droid,hard_nn,free_space,409,0,619.128662109375,0.08924205378973105,0.06446752760621376,0.11620892018779341,,,,0.2519088432393185,0.2255422968694802,0.2781504114094042,0.04876307425405693,0.02039782844698101,0.08857542712047528,,,,ok
droid,all,dino_wm_droid,hard_effect,free_space,409,0,619.128662109375,0.08924205378973105,0.06446752760621376,0.11620892018779341,,,,0.2519088432393185,0.2255422968694802,0.2781504114094042,0.04164996823355155,0.014052186658449184,0.07864726378306269,,,,ok
droid,all,dino_wm_droid,random,pre_grasp,522,522,619.128662109375,0.3716475095785441,0.3339140872845752,0.4157201323580634,0.3716475095785441,0.33031874012861007,0.41379983836206896,0.46131945437112987,0.4272657678291133,0.4968703446383016,0.002191497905044263,-0.017374653979428056,0.02048686870740618,0.002191497905044263,-0.01812542861834592,0.022293882647442892,ok
droid,all,dino_wm_droid,opposite,pre_grasp,522,522,619.128662109375,0.04597701149425287,0.026561897378935842,0.06822710990267797,0.04597701149425287,0.02733976790048544,0.06937534082233611,0.1653069017019651,0.14572194859602564,0.18557146624460716,0.008465215620866681,-0.010034911203079318,0.02511868158411031,0.008465215620866681,-0.009026156824825767,0.026126738891244568,ok
droid,all,dino_wm_droid,hard_nn,pre_grasp,522,522,619.128662109375,0.06992337164750957,0.04840213010604073,0.09249430848036426,0.06992337164750957,0.04970572110423117,0.09203095810717385,0.22526876033922494,0.2055142597461794,0.24522591636282584,2.342439702644202e-05,-0.021404685595999617,0.02048216528242285,2.342439702644202e-05,-0.020567705205093153,0.02152712777724934,ok
droid,all,dino_wm_droid,hard_effect,pre_grasp,522,522,619.128662109375,0.06992337164750957,0.04840213010604073,0.09249430848036426,0.06992337164750957,0.04970572110423117,0.09203095810717385,0.22526876033922494,0.2055142597461794,0.24522591636282584,0.013604074145642277,-0.005915041818784389,0.03247513558386967,0.013604074145642277,-0.004125925824755714,0.03254785393268654,ok
droid,all,dino_wm_droid,random,gripper_actuation,400,229,619.128662109375,0.2025,0.1654501216545012,0.23679076660814696,0.314410480349345,0.2586170368205728,0.3750136462882096,0.3248636020626873,0.292148646265875,0.3588178132745348,0.035176141560077666,0.015918428262330527,0.05464854965172968,0.05414901237820954,0.02286663679972614,0.08458414110235678,ok
droid,all,dino_wm_droid,opposite,gripper_actuation,400,229,619.128662109375,0.095,0.0660140493713775,0.12750527108433735,0.056768558951965066,0.02953276247207744,0.08889880952380952,0.23278189869597554,0.2052747002257495,0.26025217073988405,0.0479678812623024,0.030381449677644508,0.06640738100919899,0.07854023770994495,0.05112908756195056,0.10256414143430034,ok
droid,all,dino_wm_droid,hard_nn,gripper_actuation,400,229,619.128662109375,0.0225,0.009471752645915217,0.037037037037037035,0.034934497816593885,0.014955673758865251,0.06053981519228156,0.16910279040224852,0.1545000787683356,0.18539946988830225,0.04106861621141434,0.020549380248812036,0.058907673193609775,0.06589522215997287,0.0356296336512233,0.09466841447723386,ok
droid,all,dino_wm_droid,hard_effect,gripper_actuation,400,229,619.128662109375,0.0225,0.009471752645915217,0.037037037037037035,0.034934497816593885,0.014955673758865251,0.06053981519228156,0.16910279040224852,0.1545000787683356,0.18539946988830225,0.039648298919200894,0.02062865890754187,0.059201582825701524,0.061852515524651805,0.029001731356619383,0.09479230424191089,ok
droid,all,dino_wm_droid,random,contact_manipulation,1000,414,619.128662109375,0.295,0.2603256454501251,0.3296815469007782,0.4492753623188406,0.3980318584969748,0.5044153464927144,0.3897106321826577,0.3580352698966437,0.4205990067943244,0.09184963566064834,0.06751260588662529,0.1172682676789574,0.02399671250495358,-0.004994525814638162,0.05437543523803514,ok
droid,all,dino_wm_droid,opposite,contact_manipulation,1000,414,619.128662109375,0.309,0.27289258806358724,0.3474413666167008,0.16183574879227053,0.12887471538693662,0.197139190821256,0.4353854354918003,0.40102376885808205,0.4696586461811065,0.07967837619781494,0.056734479650072396,0.10404885099820026,0.00484866796484316,-0.023395140247279355,0.03629631421611826,ok
droid,all,dino_wm_droid,hard_nn,contact_manipulation,1000,414,619.128662109375,0.0705,0.054876171893732326,0.08820734434124526,0.05555555555555555,0.036988696340605205,0.07783478857219323,0.22668438109010458,0.2091117862344545,0.24354134933809557,0.08708737581968308,0.0641205164880207,0.11269936321130102,0.019304206981751077,-0.00922131764338119,0.04919655364337176,ok
droid,all,dino_wm_droid,hard_effect,contact_manipulation,1000,414,619.128662109375,0.0705,0.054876171893732326,0.08820734434124526,0.05555555555555555,0.036988696340605205,0.07783478857219323,0.22668438109010458,0.2091117862344545,0.24354134933809557,0.08136842715740204,0.05808740988023885,0.10587859842301467,0.009807609705533382,-0.021276519903826042,0.040600108453949915,ok
