dataset,task,model,strategy,regime,n_transitions,status
franka_custom,all,dino_wm_droid,random,free_space,24,insufficient_data
franka_custom,all,dino_wm_droid,opposite,free_space,24,insufficient_data
franka_custom,all,dino_wm_droid,hard_nn,free_space,24,insufficient_data
franka_custom,all,dino_wm_droid,hard_effect,free_space,24,insufficient_data
franka_custom,all,dino_wm_droid,random,pre_grasp,41,insufficient_data
franka_custom,all,dino_wm_droid,opposite,pre_grasp,41,insufficient_data
franka_custom,all,dino_wm_droid,hard_nn,pre_grasp,41,insufficient_data
franka_custom,all,dino_wm_droid,hard_effect,pre_grasp,41,insufficient_data
franka_custom,all,dino_wm_droid,random,gripper_actuation,18,insufficient_data
franka_custom,all,dino_wm_droid,opposite,gripper_actuation,18,insufficient_data
franka_custom,all,dino_wm_droid,hard_nn,gripper_actuation,18,insufficient_data
franka_custom,all,dino_wm_droid,hard_effect,gripper_actuation,18,insufficient_data
franka_custom,all,dino_wm_droid,random,contact_manipulation,29,insufficient_data
franka_custom,all,dino_wm_droid,opposite,contact_manipulation,29,insufficient_data
franka_custom,all,dino_wm_droid,hard_nn,contact_manipulation,29,insufficient_data
franka_custom,all,dino_wm_droid,hard_effect,contact_manipulation,29,insufficient_data
franka_custom,all,vjepa2_ac_droid,random,free_space,22,insufficient_data
franka_custom,all,vjepa2_ac_droid,opposite,free_space,22,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_nn,free_space,22,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_effect,free_space,22,insufficient_data
franka_custom,all,vjepa2_ac_droid,random,pre_grasp,43,insufficient_data
franka_custom,all,vjepa2_ac_droid,opposite,pre_grasp,43,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_nn,pre_grasp,43,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_effect,pre_grasp,43,insufficient_data
franka_custom,all,vjepa2_ac_droid,random,gripper_actuation,18,insufficient_data
franka_custom,all,vjepa2_ac_droid,opposite,gripper_actuation,18,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_nn,gripper_actuation,18,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_effect,gripper_actuation,18,insufficient_data
franka_custom,all,vjepa2_ac_droid,random,contact_manipulation,29,insufficient_data
franka_custom,all,vjepa2_ac_droid,opposite,contact_manipulation,29,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_nn,contact_manipulation,29,insufficient_data
franka_custom,all,vjepa2_ac_droid,hard_effect,contact_manipulation,29,insufficient_data
