dataset,task,model,regime,n_transitions,n_boundary,boundary_threshold,mean_boundary_score,bb,bb_lo,bb_hi,bb_boundary,bb_boundary_lo,bb_boundary_hi,status
metaworld,mw-assembly,dino_wm_metaworld+obj_dynamics,contact_manipulation,341,86,0.004691420355811715,0.0038574954960495234,0.26491122586172305,0.23246406124933536,0.30282006740328316,0.8492045246784627,0.7815324501784511,0.9159559302944865,ok
metaworld,mw-assembly,dino_wm_metaworld+obj_dynamics,free_space,200,6,0.004691420355811715,0.0032802859786897898,0.12177248368786085,0.07693462972618453,0.19735524830419093,1.094175762311022,1.094175762311022,1.094175762311022,ok
metaworld,mw-assembly,dino_wm_metaworld+obj_dynamics,pre_grasp,599,21,0.004691420355811715,0.0032392474822700024,0.04295631909093023,0.018480594698158714,0.08558552338324725,0.6994401520455537,0.22407621118477541,1.0234931419244147,ok
metaworld,mw-button-press,dino_wm_metaworld+obj_dynamics,contact_manipulation,106,38,0.004691420355811715,0.004405501764267683,0.6192569220590244,0.50387887317262,0.7216358106786883,0.4286282871795918,0.30360845851332396,0.5650662796561852,ok
metaworld,mw-button-press,dino_wm_metaworld+obj_dynamics,free_space,334,72,0.004691420355811715,0.0040998635813593864,0.07373099153567644,0.04489982999636595,0.10824984788752566,0.03947865953818476,0.011859156491059892,0.07832571535063078,ok
metaworld,mw-button-press,dino_wm_metaworld+obj_dynamics,pre_grasp,700,47,0.004691420355811715,0.003575771115720272,0.7209489208879921,0.6338245292820319,0.8105549213782204,0.8374981754663451,0.6868731897649389,0.9712613719022154,ok
metaworld,mw-door-close,dino_wm_metaworld+obj_dynamics,contact_manipulation,315,266,0.004691420355811715,0.0074560679495334625,1.0601413044733814,0.9954429054607972,1.1262787436466888,1.2415800247600677,1.1600616066222948,1.3229243289559385,ok
metaworld,mw-door-close,dino_wm_metaworld+obj_dynamics,free_space,825,466,0.004691420355811715,0.005916253197938204,0.714941892266853,0.596447023045078,0.8821554733011816,1.1451977546776226,0.9676601086269432,1.3936707028169564,ok
metaworld,mw-door-open,dino_wm_metaworld+obj_dynamics,contact_manipulation,531,455,0.004691420355811715,0.006069275550544262,0.04622195824741907,0.03340292900328859,0.05979851938675126,0.053942549075559405,0.03905909177075114,0.0695425255826405,ok
metaworld,mw-door-open,dino_wm_metaworld+obj_dynamics,free_space,346,187,0.004691420355811715,0.005021813791245222,0.09333423793689506,0.060482349742280415,0.12787905799025875,0.16256923432235598,0.1045367641427851,0.23149532755725175,ok
metaworld,mw-door-open,dino_wm_metaworld+obj_dynamics,pre_grasp,263,220,0.004691420355811715,0.006454816088080406,0.16334865453286562,0.12841089423768326,0.19609663355252244,0.19527589155519845,0.15837712124243777,0.23151065052149614,ok
metaworld,mw-drawer-close,dino_wm_metaworld+obj_dynamics,contact_manipulation,187,41,0.004691420355811715,0.004239147063344717,1.0786641786836881,1.0255427007510076,1.129376230964134,0.8528526377015969,0.7635002509524961,0.938266418341398,ok
metaworld,mw-drawer-close,dino_wm_metaworld+obj_dynamics,pre_grasp,904,263,0.004691420355811715,0.003906370140612125,0.8289707891791602,0.7144836375401298,0.9419189371096837,1.316409631934653,1.2377385860821657,1.3825678206351697,ok
metaworld,mw-hammer,dino_wm_metaworld+obj_dynamics,contact_manipulation,513,11,0.004691420355811715,0.0034999572671949863,0.08056136686071276,0.06847585353598545,0.09306004496616026,0.0008920923367771904,0.0,0.0024532539261372735,ok
metaworld,mw-hammer,dino_wm_metaworld+obj_dynamics,free_space,164,0,0.004691420355811715,0.003350792219862342,0.018249361033844044,0.004722598715078972,0.031959389190121416,,,,ok
