dataset,task,model,regime,n_transitions,n_boundary,boundary_threshold,mean_boundary_score,bb,bb_lo,bb_hi,bb_boundary,bb_boundary_lo,bb_boundary_hi,status
metaworld,mw-assembly,jepa_wm_metaworld+obj_dynamics,contact_manipulation,341,89,0.0047195833176374435,0.003944283816963434,0.2761599989293422,0.2387654845727099,0.3187764048738275,0.8635780289500379,0.7979967742389082,0.9199540027940016,ok
metaworld,mw-assembly,jepa_wm_metaworld+obj_dynamics,free_space,200,7,0.0047195833176374435,0.0031789171043783426,0.0638038233995223,0.02352524746893053,0.13447897058246494,0.976517181063065,0.976517181063065,0.976517181063065,ok
metaworld,mw-assembly,jepa_wm_metaworld+obj_dynamics,pre_grasp,599,33,0.0047195833176374435,0.003300268668681383,0.045221278759092154,0.015902376765241647,0.09484080520803996,0.5572922662878131,0.19537854997888685,0.897043274639894,ok
metaworld,mw-button-press,jepa_wm_metaworld+obj_dynamics,contact_manipulation,106,33,0.0047195833176374435,0.004390514921396971,0.6503866843533831,0.5478217936332483,0.745399376080763,0.4805447181178661,0.34440769930374093,0.620377204657581,ok
metaworld,mw-button-press,jepa_wm_metaworld+obj_dynamics,free_space,334,86,0.0047195833176374435,0.004155999980866909,0.08150282060066849,0.05135096374956246,0.11694063261271613,0.058048939023192435,0.030469001776140876,0.0929169326086956,ok
metaworld,mw-button-press,jepa_wm_metaworld+obj_dynamics,pre_grasp,700,44,0.0047195833176374435,0.003630409250035882,0.6265533864402787,0.5237668340281284,0.7305107674905246,0.8598363423415575,0.6931601950831412,1.0077118168116515,ok
metaworld,mw-door-close,jepa_wm_metaworld+obj_dynamics,contact_manipulation,315,268,0.0047195833176374435,0.007470706012099981,0.989997942355761,0.9327588092865227,1.0483508918185653,1.1456960895712291,1.0887559750033267,1.2116334191566238,ok
metaworld,mw-door-close,jepa_wm_metaworld+obj_dynamics,free_space,825,448,0.0047195833176374435,0.005880130920559168,0.6298244457041072,0.5346976694046126,0.7545336926009505,1.0621140936477516,0.921961242074161,1.2464191296883573,ok
metaworld,mw-door-open,jepa_wm_metaworld+obj_dynamics,contact_manipulation,531,452,0.0047195833176374435,0.006044953595846891,0.0170333320214087,0.011254436282679975,0.022755290103517792,0.0200103966888673,0.01375161962841343,0.027308920236127143,ok
metaworld,mw-door-open,jepa_wm_metaworld+obj_dynamics,free_space,346,146,0.0047195833176374435,0.004846222698688507,0.07778735363295,0.046534937389439465,0.10964368834592327,0.16228319781197453,0.09594081975746131,0.24747997792948753,ok
metaworld,mw-door-open,jepa_wm_metaworld+obj_dynamics,pre_grasp,263,217,0.0047195833176374435,0.006322686560451984,0.05911906917460502,0.04309414390912784,0.07742412796195328,0.07165122208719411,0.0529580578959877,0.09288520476231493,ok
metaworld,mw-drawer-close,jepa_wm_metaworld+obj_dynamics,contact_manipulation,187,37,0.0047195833176374435,0.004215942695736885,1.1596043306652495,1.1055857064120358,1.211317043526818,0.8750868457187504,0.7935577681620283,0.9490501037709169,ok
metaworld,mw-drawer-close,jepa_wm_metaworld+obj_dynamics,pre_grasp,904,279,0.0047195833176374435,0.0041110399179160595,0.8116941671298762,0.7008157891745749,0.9270665149441325,1.2933267977459213,1.220818315022407,1.344236711183699,ok
metaworld,mw-hammer,jepa_wm_metaworld+obj_dynamics,contact_manipulation,513,8,0.0047195833176374435,0.003579560434445739,0.08250972231794147,0.06852552267822475,0.09678024717924127,0.007331437141696012,0.0,0.025136355914386326,ok
