dataset,task,model,regime,n_transitions,n_boundary,boundary_threshold,mean_boundary_score,bb,bb_lo,bb_hi,bb_boundary,bb_boundary_lo,bb_boundary_hi,status,s_z,s_g,beta
metaworld,mw-assembly,dino_wm_metaworld+metric_obj,contact_manipulation,341,86,0.004691420355811715,0.0038574954960495234,0.07659587852582148,0.05824502032583695,0.09951506753583003,0.06164636282518444,0.025424154879358396,0.10253535220886158,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-assembly,dino_wm_metaworld+metric_obj,free_space,200,6,0.004691420355811715,0.0032802859786897898,0.007711885883487602,0.0,0.02192953331797422,0.25706286278292007,0.25706286278292007,0.25706286278292007,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-assembly,dino_wm_metaworld+metric_obj,pre_grasp,599,21,0.004691420355811715,0.0032392474822700024,0.13582993528245293,0.085682504324434,0.182092391991906,0.38393424906941587,0.07104083164822184,0.6129400317079481,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-button-press,dino_wm_metaworld+metric_obj,contact_manipulation,106,38,0.004691420355811715,0.004405501764267683,0.5306694289094174,0.46526289421798517,0.6016170168361323,0.6831166442820511,0.5918286297467819,0.7770354004138537,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-button-press,dino_wm_metaworld+metric_obj,free_space,334,72,0.004691420355811715,0.0040998635813593864,0.13125223277154113,0.10303749014862419,0.16031882251090224,0.26948099166805883,0.18619896616060921,0.3486233503788901,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-button-press,dino_wm_metaworld+metric_obj,pre_grasp,700,47,0.004691420355811715,0.003575771115720272,0.684093178358851,0.6011452111227444,0.7708419863682117,1.0109918234113926,0.8540107455564632,1.1699476939052726,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-close,dino_wm_metaworld+metric_obj,contact_manipulation,315,266,0.004691420355811715,0.0074560679495334625,2.023074915021715,1.9263128645549719,2.124651655084192,2.3396241446582513,2.2443108327630177,2.4407613897242464,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-close,dino_wm_metaworld+metric_obj,free_space,825,466,0.004691420355811715,0.005916253197938204,1.7864785600466946,1.6456944119798806,1.9440388680049328,2.9266874288034868,2.7996018239527993,3.0754867886630923,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-open,dino_wm_metaworld+metric_obj,contact_manipulation,531,455,0.004691420355811715,0.006069275550544262,0.4090851347982747,0.3478418555721168,0.4743496406609847,0.4362030956693797,0.36545597925511175,0.506890047130647,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-door-open,dino_wm_metaworld+metric_obj,free_space,346,187,0.004691420355811715,0.005021813791245222,0.48682975822587343,0.4007474528120076,0.58970697444614,0.575415937401897,0.41881963240672515,0.7858830873828792,ok,169.30589294433594,0.12760527431964874,1.0
