dataset,task,model,strategy,regime,n_transitions,n_effect,effect_threshold,cra_top1,cra_top1_lo,cra_top1_hi,cra_top1_eff,cra_top1_eff_lo,cra_top1_eff_hi,cra_mrr,cra_mrr_lo,cra_mrr_hi,aug,aug_lo,aug_hi,ecs,ecs_lo,ecs_hi,status
metaworld,mw-assembly,jepa_wm_metaworld,random,free_space,200,194.0,175.574462890625,0.92,0.8544481490714196,0.9833333333333332,0.9484536082474226,0.894212962962963,0.989071038251366,0.941626114360988,0.8856727360256224,0.9861186595857684,0.0491150230541825,0.0358554848864521,0.0625092894981456,0.0481408493036461,0.0358401981709952,0.0625522163363157,ok
metaworld,mw-assembly,jepa_wm_metaworld,opposite,free_space,200,194.0,175.574462890625,0.99,0.971563981042654,1.0,0.9948453608247424,0.9850746268656716,1.0,0.990588235296309,0.9729805797980162,1.0,0.0528333929181098,0.036647076517544,0.0697920249608744,0.0520110457521124,0.036794031072817,0.0690104839959785,ok
metaworld,mw-assembly,jepa_wm_metaworld,hard_nn,free_space,200,194.0,175.574462890625,0.625,0.5534346449335549,0.7028009259259258,0.634020618556701,0.5693743099006257,0.7098616034905917,0.7657424253597855,0.7138795640834278,0.8168095818766953,0.0486497656628489,0.0372764165831045,0.0604042120890065,0.0477348163186274,0.0369281881102396,0.0599323799887645,ok
metaworld,mw-button-press,jepa_wm_metaworld,random,free_space,334,322.0,175.574462890625,0.8922155688622755,0.8514147869674186,0.92722212130483,0.9006211180124224,0.8685015290519877,0.9316823067899928,0.9290392257964718,0.9022505934568648,0.9533854142984608,0.0567987559664392,0.0493075145588871,0.0644005958095629,0.0575149351534265,0.0493498282169832,0.0657046562622914,ok
metaworld,mw-button-press,jepa_wm_metaworld,opposite,free_space,334,322.0,175.574462890625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0550359833294046,0.0480387887425022,0.0630062772491164,0.0558750682643481,0.0487641444795909,0.0635540273362797,ok
metaworld,mw-button-press,jepa_wm_metaworld,hard_nn,free_space,334,322.0,175.574462890625,0.5239520958083832,0.4702199477351916,0.5781305644586895,0.5279503105590062,0.4716703662597115,0.5820561229902683,0.701423453111313,0.6662875711978522,0.7373892306321029,0.0594665342105362,0.0518911437257627,0.0666515547104359,0.0600034547564776,0.0525233518130449,0.0677849095179757,ok
metaworld,mw-door-close,jepa_wm_metaworld,random,free_space,825,218.0,175.574462890625,0.463030303030303,0.4306359490012271,0.4951576774163362,0.7889908256880734,0.7355570652173914,0.8495145631067961,0.5940311635037263,0.5663948358878129,0.6217831473158213,0.038076749042128,0.0342542904681855,0.0427233355821839,0.0895921918435381,0.0775697530680704,0.100861656732498,ok
metaworld,mw-door-close,jepa_wm_metaworld,opposite,free_space,825,218.0,175.574462890625,0.8715151515151515,0.8490722729313183,0.8916967509025271,0.9908256880733946,0.9764122999195206,1.0,0.8887794909603668,0.8693827321058885,0.9078804052942504,0.0358957763287154,0.0317315467681552,0.0406262687880222,0.0791151248807207,0.0686200324146865,0.089475343928945,ok
metaworld,mw-door-close,jepa_wm_metaworld,hard_nn,free_space,825,218.0,175.574462890625,0.3909090909090909,0.3590370595382746,0.4230107225969894,0.5527522935779816,0.4952589546117389,0.6127824566587864,0.5477480782026595,0.5200729682326574,0.5759050732757641,0.036786172909267,0.0328659520235072,0.0412193726992189,0.0840052998872525,0.0729799815567909,0.096117059211936,ok
metaworld,mw-door-open,jepa_wm_metaworld,random,free_space,346,315.0,175.574462890625,0.8497109826589595,0.8049930180294842,0.8971983793093712,0.8920634920634921,0.8575946917741114,0.928315995937095,0.8939104598295482,0.8620317922567063,0.9283751216063224,0.1368604669767308,0.117583292079006,0.1550401071503235,0.1428277145302484,0.1238522456629046,0.1620583265863053,ok
