task,arm,seed,success,success_end,steps,final_state_dist,ee_dist,obj_goal_dist,expert_success_step
mw-reach,latent_oracle,10000,1,1,100,0.1803444319876167,0.0077876182814653385,4.469851860898021e-07,56
mw-reach,latent_oracle,10001,1,1,100,0.0515575006369195,0.0061569142641157695,2.1237694911180092e-08,38
mw-reach,latent_oracle,10002,1,1,100,0.003472476222433181,0.0015714837828938546,7.198378677746719e-08,49
mw-reach,latent_oracle,10003,1,1,100,0.005554806946003253,0.002433520002594123,3.726836584822406e-08,47
mw-reach,latent_oracle,10004,1,1,100,0.12662552457909815,0.006225699221960015,1.439236164531137e-07,54
mw-reach,latent_oracle,10005,1,1,100,0.5318215922854597,0.006429231496690151,2.851658399603463e-07,44
mw-reach,latent_oracle,10006,1,1,100,0.2347470205278963,0.004746828598232775,1.4500018378096543e-07,52
mw-reach,latent_oracle,10007,1,1,100,0.23282904857332923,0.011151911177554338,2.369877695379288e-07,54
mw-reach,latent_oracle,10008,1,1,100,0.13512313156926553,0.0057850596494361676,1.8936594504364336e-07,37
mw-reach,latent_oracle,10009,1,1,100,0.19724140564446452,0.00781605211801348,2.1059124383648174e-07,47
mw-reach,latent_oracle,10010,1,1,100,0.05087606299984387,0.0037945158980323833,2.324978461238863e-07,41
mw-reach,latent_oracle,10011,1,1,100,0.03682372859130215,0.0038989294995484874,1.51367021261022e-07,51
mw-reach,latent_oracle,10012,1,1,100,0.2860094628153566,0.0062633328786410435,1.8245943666181913e-07,54
mw-reach,latent_oracle,10013,1,1,100,0.006941929679514688,0.003989878828861953,1.0729729534546173e-08,50
mw-reach,latent_oracle,10014,1,1,100,0.02036019805181562,0.008396359279084015,7.781891674279146e-08,50
mw-reach,latent_oracle,10015,1,1,100,0.00914756881039442,0.005733295471140795,2.0669571133237467e-07,48
mw-push,latent_oracle,10000,0,0,100,0.6636799635751918,0.02125342150861067,0.2613696084606177,51
mw-push,latent_oracle,10001,0,0,100,0.3755850404438026,0.015753926353637565,0.17072768560492962,57
mw-push,latent_oracle,10002,0,0,100,0.746113349831766,0.0037153228302435866,0.2424653482191777,66
mw-push,latent_oracle,10003,0,0,100,0.41137199877541836,0.013471138585549887,0.22632624091132814,60
mw-push,latent_oracle,10004,0,0,100,0.6552850586484195,0.04247452325595466,0.30334959972440084,67
mw-push,latent_oracle,10005,0,0,100,0.5134917310520296,0.012540110612108087,0.27784519530171015,65
mw-push,latent_oracle,10006,0,0,100,0.7573354940099163,0.030617787825212912,0.29048385416924394,71
mw-push,latent_oracle,10007,0,0,100,0.5871782510117509,0.019156703455658092,0.24018966115170193,61
mw-push,latent_oracle,10008,0,0,100,0.6686278264901342,0.001345814141836347,0.16388598323748602,55
mw-push,latent_oracle,10009,0,0,100,0.7229676406171631,0.02106358238950676,0.2487708330339268,68
mw-push,latent_oracle,10010,0,0,100,1.4872359203923096,0.019063314226599126,0.14766162534651756,60
mw-push,latent_oracle,10011,0,0,100,2.0259643616543346,0.012773933488827634,0.1399279794415591,57
mw-push,latent_oracle,10012,0,0,100,1.280664320663291,0.011120151815414469,0.13547947622997747,56
mw-push,latent_oracle,10013,0,0,100,0.7146299022467474,0.010222133440322507,0.16058112927696355,55
mw-push,latent_oracle,10014,0,0,100,0.6829328810942713,0.027022072154224915,0.23767354914349786,64
mw-push,latent_oracle,10015,0,0,100,0.46991315079221696,0.008730554341554479,0.28891296149799534,62
mw-pick-place,latent_oracle,10000,0,0,100,0.49844429370138216,0.022846155419105684,0.338369660798861,51
mw-pick-place,latent_oracle,10001,0,0,100,0.6226399811593573,0.013383236635213692,0.1818283980757156,47
mw-pick-place,latent_oracle,10002,0,0,100,0.6718155205647232,0.0058320161112940085,0.24581672651674893,56
mw-pick-place,latent_oracle,10003,0,0,100,0.4650258040405015,0.007611592366191418,0.2826448993586181,53
mw-pick-place,latent_oracle,10004,0,0,100,0.9380665713718348,0.3105634342035379,0.336801016070132,58
mw-pick-place,latent_oracle,10005,0,0,100,0.41152490957367177,0.008695443983403172,0.28051067689610953,56
mw-pick-place,latent_oracle,10006,0,0,100,0.468581628918054,0.011972118547272535,0.3237021455784596,59
mw-pick-place,latent_oracle,10007,0,0,100,0.5043362616143761,0.01077664605137359,0.3271779985602935,55
mw-pick-place,latent_oracle,10008,0,0,100,0.7309567377513814,0.006406717493458787,0.1779024345701049,46
mw-pick-place,latent_oracle,10009,0,0,100,0.7296433322604177,0.004013471073273619,0.25081231635177664,56
mw-pick-place,latent_oracle,10010,0,0,100,0.684260918459681,0.011409655696853436,0.19989824553691288,50
mw-pick-place,latent_oracle,10011,0,0,100,0.41914771560781716,0.009591725055933949,0.294070628851465,56
mw-pick-place,latent_oracle,10012,0,0,100,0.42420043501024385,0.012668971853269661,0.29722029592028715,60
mw-pick-place,latent_oracle,10013,0,0,100,0.36918084707915494,0.011455838636458542,0.25973556308708723,55
mw-pick-place,latent_oracle,10014,0,0,100,0.43690625429304875,0.013366550550157258,0.28853654247702876,55
mw-pick-place,latent_oracle,10015,0,0,100,0.439783615579169,0.00860198125749461,0.3012081351586259,54
