task,arm,seed,success,success_end,steps,final_state_dist,ee_dist,state_dist_success,expert_success_step,minutes
mw-reach,l2,10000,1,1,100,0.5879516603712103,0.013306078826019571,0,56,1.81
mw-reach,l2lora,10000,1,0,100,0.7657966619896703,0.038862290796510476,0,56,2.27
mw-reach,l2inv,10000,1,1,100,0.2814310205285125,0.031068041084183047,1,56,1.82
mw-reach,l2lorainv,10000,0,0,100,0.9367007460792094,0.0486554996062665,0,56,2.28
mw-reach,l2,10001,1,0,100,0.03451756188963637,0.025244679297136915,1,38,1.81
mw-reach,l2lora,10001,1,1,100,0.08938265373867976,0.03956835082901953,1,38,2.27
mw-reach,l2inv,10001,1,0,100,0.0210638404830137,0.01661627011207835,1,38,1.82
mw-reach,l2lorainv,10001,1,1,100,0.19798309662743768,0.025841809147557144,1,38,2.27
mw-reach,l2,10002,1,0,100,0.7925297500194558,0.039880605476621735,0,49,1.81
mw-reach,l2lora,10002,1,0,100,0.09699800581575724,0.04208410238254605,1,49,2.27
mw-reach,l2inv,10002,1,1,100,0.9208594931206132,0.03782185721536834,0,49,1.81
mw-reach,l2lorainv,10002,1,0,100,0.580682216103771,0.061813433234810186,0,49,2.27
mw-reach,l2,10003,1,0,100,0.01789747293248252,0.013073957629954483,1,47,1.81
mw-reach,l2lora,10003,1,0,100,0.03818379450448653,0.02867830199741652,1,47,2.27
mw-reach,l2inv,10003,1,0,100,0.3162779622270477,0.014845792386739685,0,47,1.81
mw-reach,l2lorainv,10003,1,0,100,1.0027882468802216,0.06092043533534674,0,47,2.27
mw-reach,l2,10004,1,1,100,0.02307157078131993,0.014323467525006241,1,54,1.81
mw-reach,l2lora,10004,1,0,100,0.08130704670553315,0.05458626932466136,1,54,2.27
mw-reach,l2inv,10004,1,1,100,0.2748297677850594,0.017034281156872052,1,54,1.82
mw-reach,l2lorainv,10004,0,0,100,0.0471485216052531,0.03257632991156819,1,54,2.28
mw-reach,l2,10005,1,0,100,0.32060091524163625,0.042414341690786166,0,44,1.81
mw-reach,l2lora,10005,1,1,100,0.8571056609712695,0.052297559178094435,0,44,2.27
mw-reach,l2inv,10005,1,1,100,0.8385650409186629,0.03313311841178395,0,44,1.82
mw-reach,l2lorainv,10005,1,1,100,0.9906501075731016,0.01841932681876171,0,44,2.28
mw-reach,l2,10006,1,0,100,0.04740021186999915,0.03358014199128108,1,52,1.81
mw-reach,l2lora,10006,1,0,100,0.060206963544480525,0.043053819115104607,1,52,2.27
mw-reach,l2inv,10006,1,0,100,0.08867089080852242,0.0476705625557849,1,52,1.82
mw-reach,l2lorainv,10006,0,0,100,0.052014200992210435,0.037334090642325866,1,52,2.27
mw-reach,l2,10007,1,1,100,1.0124439035832413,0.030067745763058373,0,54,1.82
mw-reach,l2lora,10007,1,1,100,0.7696995997474081,0.05696134242541724,0,54,2.27
