task,arm,seed,success,success_end,steps,final_state_dist,ee_dist,obj_goal_dist,expert_success_step
mw-reach,oracle,10000,0,0,100,0.48250401150030986,0.3414300121381159,4.469851865147709e-07,56
mw-reach,oracle,10001,0,0,100,0.2909330893138675,0.18204499388672965,2.1237695061746015e-08,38
mw-reach,oracle,10002,0,0,100,0.3394161842331389,0.2366773687557624,7.198378740264076e-08,49
mw-reach,oracle,10003,0,0,100,0.4138511361820194,0.28833534417433304,3.7268365749826586e-08,47
mw-reach,oracle,10004,0,0,100,0.4716071841269104,0.33389008883892946,1.4392361659563886e-07,54
mw-reach,oracle,10005,0,0,100,0.41150047379576465,0.27039749425220383,2.8516584009421177e-07,44
mw-reach,oracle,10006,0,0,100,0.45648312809297736,0.3224011291556811,1.4500018248332437e-07,52
mw-reach,oracle,10007,0,0,100,0.47177490246096315,0.33236423440575524,2.3698776946066815e-07,54
mw-reach,oracle,10008,0,0,100,0.26976725314476724,0.18069560996051431,1.8936594515242203e-07,37
mw-reach,oracle,10009,0,0,100,0.33804150719457976,0.23893547041519392,2.1059124368849963e-07,47
mw-reach,oracle,10010,0,0,100,0.28323055142207787,0.2002666629443916,2.3249784611082975e-07,41
mw-reach,oracle,10011,0,0,100,0.4341166625706522,0.3012755620442042,1.5136702078304432e-07,51
mw-reach,oracle,10012,0,0,100,0.43814340356533377,0.3068212312800435,1.8245943648510874e-07,54
mw-reach,oracle,10013,0,0,100,0.38012360811019635,0.2689945942976647,1.0729727030118288e-08,50
mw-reach,oracle,10014,0,0,100,0.42217740624477806,0.29054202099197834,7.781891660585952e-08,50
mw-reach,oracle,10015,0,0,100,0.42234043038099384,0.29904946745381555,2.0669571143650146e-07,48
mw-push,oracle,10000,1,1,100,0.7327497854452677,0.0040043998391521285,0.0045033583680901546,51
mw-push,oracle,10001,1,1,100,0.396999901657117,0.017138413255736017,0.007871680032770756,57
mw-push,oracle,10002,1,1,100,2.4364904023595515,0.002313577270739239,0.001596067218620143,66
mw-push,oracle,10003,1,1,100,0.13118792128941628,0.004069554834964541,0.0025237435123958776,60
mw-push,oracle,10004,1,1,100,0.27098103141178204,0.024608254346403104,0.0007766528293186052,67
mw-push,oracle,10005,1,1,100,0.04186614741977519,0.011295294691867918,0.0012995764630269703,65
mw-push,oracle,10006,1,1,100,0.7859730062194775,0.010720320901496678,0.01711285321636578,71
mw-push,oracle,10007,1,1,100,0.04553037072955004,0.014510605871466381,0.0012290443411230071,61
mw-push,oracle,10008,1,1,100,1.164412424598204,0.009588275742001261,0.005276654200643521,55
mw-push,oracle,10009,1,1,100,0.10266172064297815,0.025059180436989507,0.0001997156916335716,68
mw-push,oracle,10010,1,1,100,0.024380815884851553,0.010698935396191088,0.0020183428527949976,60
mw-push,oracle,10011,1,1,100,1.3254723895055018,0.015378983864102854,0.004173434143323363,57
mw-push,oracle,10012,1,1,100,2.5547897482230253,0.0193086419966644,0.0052131589083545815,56
mw-push,oracle,10013,1,1,100,0.6342974896019502,0.019951596431325595,0.0057778265383903364,55
mw-push,oracle,10014,1,1,100,0.5934300858435502,0.022416952317255705,0.01716719903824946,64
mw-push,oracle,10015,1,1,100,0.15270024600995127,0.018427947939706524,0.0009747238664532954,62
mw-pick-place,oracle,10000,0,0,100,0.5687448302604011,0.15005918500029666,0.14051661873094118,51
mw-pick-place,oracle,10001,1,1,100,1.1023164405367079,0.006999677402189771,0.0014322093548753338,47
mw-pick-place,oracle,10002,1,1,100,2.482189373617459,0.0038897936092707457,0.0018392021599960555,56
mw-pick-place,oracle,10003,1,1,100,0.05632393938285131,0.008472416970420879,0.000577240823088398,53
mw-pick-place,oracle,10004,1,1,100,0.06430403607613504,0.013454522473511997,0.001792901076135517,58
mw-pick-place,oracle,10005,1,1,100,0.12406525349366991,0.0025857909564902092,0.0031335721916631153,56
mw-pick-place,oracle,10006,0,0,100,1.116540038731712,0.02506088923440559,0.02627156344933596,59
mw-pick-place,oracle,10007,0,0,100,0.11266719906925458,0.04781937161456393,0.04675467190100055,55
mw-pick-place,oracle,10008,1,1,100,0.9430855223128962,0.0064200420255125235,0.0013689898451750026,46
mw-pick-place,oracle,10009,1,1,100,1.0072740921491996,0.026446708960384993,0.02032508800410885,56
mw-pick-place,oracle,10010,1,1,100,0.05859729911309401,0.010555508576143362,8.324286785206094e-05,50
mw-pick-place,oracle,10011,1,1,100,1.9968266070539538,0.007467054873964002,0.0003679294846201249,56
mw-pick-place,oracle,10012,0,0,100,1.6269791790867378,0.15194391483780986,0.13875788983760973,60
mw-pick-place,oracle,10013,1,1,100,2.5734175837613598,0.02767517236645626,0.0172163881877478,55
mw-pick-place,oracle,10014,1,1,100,0.3052947328297851,0.009861666025535258,0.0008392215955346065,55
mw-pick-place,oracle,10015,0,0,100,0.7415110297865254,0.027653925711929407,0.03095436017556498,54
