dataset,model,regime,horizon,arm,n_planned,beta,s_z,s_g,action_error,action_error_lo,action_error_hi
metaworld,dino_wm_metaworld,free_space,3,l2,14,1.0,169.30589294433594,0.12760527431964874,18.851581922599248,14.799639633510795,23.166018976058275
metaworld,dino_wm_metaworld,free_space,3,aware,14,1.0,169.30589294433594,0.12760527431964874,19.15725169011525,15.07159917312009,23.431551111383097
metaworld,dino_wm_metaworld,free_space,3,obj,14,1.0,169.30589294433594,0.12760527431964874,21.480786911078862,17.3123136729002,26.072625320085457
metaworld,dino_wm_metaworld,free_space,3,hdyn,14,1.0,169.30589294433594,0.12760527431964874,18.997943018163955,14.815108605154924,23.314156287057056
metaworld,dino_wm_metaworld,free_space,3,aware_minus_l2_paired,14,1.0,169.30589294433594,0.12760527431964874,0.30566976751599995,-0.040777765001569447,0.7061483849372182
metaworld,dino_wm_metaworld,free_space,3,hdyn_minus_l2_paired,14,1.0,169.30589294433594,0.12760527431964874,0.14636109556470597,-0.15027115195989596,0.5172505821500504
metaworld,dino_wm_metaworld,pre_grasp,3,l2,6,1.0,169.30589294433594,0.12760527431964874,15.768547097841898,12.17720072567463,19.51424976189931
metaworld,dino_wm_metaworld,pre_grasp,3,aware,6,1.0,169.30589294433594,0.12760527431964874,15.874446392059326,12.327158530553183,19.613859238227207
metaworld,dino_wm_metaworld,pre_grasp,3,obj,6,1.0,169.30589294433594,0.12760527431964874,21.148959934711456,16.65471305350463,25.261740068594616
metaworld,dino_wm_metaworld,pre_grasp,3,hdyn,6,1.0,169.30589294433594,0.12760527431964874,15.62005603313446,11.806761503219604,19.370352254311243
metaworld,dino_wm_metaworld,pre_grasp,3,aware_minus_l2_paired,6,1.0,169.30589294433594,0.12760527431964874,0.10589929421742757,-0.39371637503306073,0.5117453734079996
metaworld,dino_wm_metaworld,pre_grasp,3,hdyn_minus_l2_paired,6,1.0,169.30589294433594,0.12760527431964874,-0.14849106470743814,-1.0666897296905518,0.7898545026779169
metaworld,dino_wm_metaworld,contact_manipulation,3,l2,21,1.0,169.30589294433594,0.12760527431964874,20.121385438101633,16.552518432268077,23.4532130492585
metaworld,dino_wm_metaworld,contact_manipulation,3,aware,21,1.0,169.30589294433594,0.12760527431964874,19.861015161588078,16.255173929816202,23.2362528588268
metaworld,dino_wm_metaworld,contact_manipulation,3,obj,21,1.0,169.30589294433594,0.12760527431964874,21.543785836015427,18.005920153572447,24.96085102111101
metaworld,dino_wm_metaworld,contact_manipulation,3,hdyn,21,1.0,169.30589294433594,0.12760527431964874,20.050252270130883,16.505800692169437,23.377057343934265
metaworld,dino_wm_metaworld,contact_manipulation,3,aware_minus_l2_paired,21,1.0,169.30589294433594,0.12760527431964874,-0.2603702765135538,-0.5910137064577567,0.056881239992522044
metaworld,dino_wm_metaworld,contact_manipulation,3,hdyn_minus_l2_paired,21,1.0,169.30589294433594,0.12760527431964874,-0.07113316797074817,-0.5084451328430857,0.3399525015127091
