snapshot,population,spearman_learned_true_latent,spearman_true_latent_physical,spearman_learned_physical,top10pct_recall_true_latent,top10pct_recall_physical,false_elite_rate_physical,dynamics_selection_regret_latent,representation_selection_regret_m,end_to_end_selection_regret_m,selected_physical_distance_m,latent_selected_physical_distance_m,oracle_physical_distance_m,candidate_headroom_m,start_physical_distance_m,oracle_improvement_m,selected_success,latent_selected_success,oracle_candidate_success,representation_success_gap,end_to_end_success_gap
0,final,-0.0712821253569484,0.0711479016433516,-0.15685107612306803,0.06666666666666667,0.03333333333333333,0.6,35.48430633544922,0.02312166828629926,0.024196477781849454,0.03341599901097479,0.0323411895154246,0.00921952122912534,0.024208889695075092,0.09756751888193085,0.08834799765280552,1.0,1.0,1.0,0.0,0.0
0,initial,0.4047364970721897,0.7496398848876098,0.3008006755630618,0.3,0.16666666666666666,0.43333333333333335,57.952735900878906,0.0,0.02434772995367964,0.027827828737299647,0.003480098783620005,0.003480098783620005,0.03160438278599476,0.09756751888193085,0.09408742009831085,1.0,1.0,1.0,0.0,0.0
1,final,0.013571706352292804,0.49625351392793254,-0.008297425526950298,0.1,0.06666666666666667,0.5,39.57451248168945,0.09269404652648046,0.03583247290339962,0.043893364792732745,0.10075493841581358,0.008060891889333125,0.029343726378457637,0.24722097897144896,0.23916008708211584,0.0,0.0,1.0,1.0,1.0
1,initial,0.129093434371493,-0.3153790597673307,0.07029233658151757,0.2,0.2,0.5333333333333333,152.86727905273438,0.09828886012937843,0.05720082660160031,0.0672337592534634,0.10832179278124152,0.010032932651863082,0.09729704664568636,0.24722097897144896,0.23718804631958587,0.0,0.0,1.0,1.0,1.0
2,final,0.030950121668018533,-0.0066649629440327105,0.02488116534628162,0.03333333333333333,0.06666666666666667,0.5,20.777984619140625,0.032550537872922364,0.014847987886216801,0.2600586350681491,0.27776118505485464,0.24521064718193228,0.014864895932129002,0.27976840387197716,0.03455775669004488,0.0,0.0,0.0,0.0,0.0
2,initial,0.548708318981322,-0.07034655940621562,-0.07854887276525294,0.43333333333333335,0.1,0.6,27.823028564453125,0.06806595899883497,0.07942359706930444,0.29714400020961446,0.285786362139145,0.21772040314031002,0.06629025571777178,0.27976840387197716,0.062048000731667136,0.0,0.0,0.0,0.0,0.0
3,final,0.1412855698396649,0.8482925365837398,0.07976488627651417,0.2,0.13333333333333333,0.6,331.5872802734375,0.02048523850710621,0.163319724251553,0.17853705885811375,0.035702573113666966,0.015217334606560756,0.15943591443259972,0.16517757772899622,0.14996024312243547,0.0,1.0,1.0,0.0,1.0
3,initial,0.6787897643307148,0.578277980866454,0.4445591617684641,0.3333333333333333,0.3,0.36666666666666664,135.1344757080078,0.02107419789589271,0.08922570215179756,0.16446654884515305,0.0963150445892482,0.07524084669335548,0.10365940048978858,0.16517757772899622,0.08993673103564073,0.0,0.0,0.0,0.0,0.0
4,final,0.052356581739797105,0.19890576561961798,0.017135745952732807,0.26666666666666666,0.2,0.43333333333333335,361.5600280761719,0.01898287415308348,0.2514973859416306,0.2623071663962558,0.02979265460770867,0.01080978045462519,0.24991039337744295,0.26067182346600276,0.24986204301137757,0.0,1.0,1.0,0.0,1.0
4,initial,0.35682929810331226,-0.3945634951499461,-0.18010466782964252,0.16666666666666666,0.13333333333333333,0.6,10.542205810546875,0.0,0.056335032689257686,0.2565465698437292,0.20021153715447151,0.20021153715447151,0.060306312623509245,0.26067182346600276,0.06046028631153125,0.0,0.0,0.0,0.0,0.0
5,final,0.01770197446638296,-0.016037963105353024,0.03856155671132581,0.03333333333333333,0.13333333333333333,0.5,34.62359619140625,1.3259116027342088e-12,8.75327588190089e-13,0.14521203195661014,0.14521203195706073,0.14521203195573482,3.941569293175462e-13,0.14521203195866553,2.930711229254257e-12,0.0,0.0,0.0,0.0,0.0
5,initial,0.5579590884343159,-0.0200748897209969,0.04745074945277169,0.06666666666666667,0.06666666666666667,0.3333333333333333,171.18927001953125,0.0,0.07010386325173389,0.1455468530087129,0.07544298975697901,0.07544298975697901,0.06976904220002998,0.14521203195866553,0.06976904220168652,0.0,0.0,0.0,0.0,0.0
6,final,0.04471160790675451,0.2944837164857387,-0.161757797308859,0.06666666666666667,0.03333333333333333,0.6,74.58535766601562,0.05633097442296811,0.13113805861601643,0.27589506385355306,0.20108797966050473,0.14475700523753662,0.0881655605948774,0.2949501998972499,0.15019319465971329,0.0,0.0,0.0,0.0,0.0
6,initial,0.1311952355026167,-0.2595646618295759,-0.15292392137690416,0.06666666666666667,0.03333333333333333,0.6,83.36883544921875,0.00419786193664195,0.017223270220243038,0.026739646144439872,0.013714237860838785,0.009516375924196834,0.09847310096430446,0.2949501998972499,0.28543382397305306,1.0,1.0,1.0,0.0,0.0
7,final,-0.02074778608651207,0.36125401551271635,-0.08822976942408749,0.1,0.1,0.5333333333333333,7.28277587890625,0.0,4.1238757200745546e-13,0.0007737591166780086,0.000773759116265621,0.000773759116265621,4.2257690402447423e-13,0.0007737591168389871,5.733661158704995e-13,1.0,1.0,1.0,0.0,0.0
7,initial,0.17306014511272347,0.13804546273065058,0.07315565441648576,0.2,0.03333333333333333,0.5,16.409027099609375,1.1060502557239116e-12,1.8198658725820938e-14,0.0007737591162838195,0.0007737591173716711,0.0007737591162656209,3.5971811467028214e-13,0.0007737591168389871,5.733662242907167e-13,1.0,1.0,1.0,0.0,0.0
8,final,-0.067571417460194,0.527816975744175,-0.07305103390037666,0.0,0.03333333333333333,0.5,59.025978088378906,0.021845236651054985,0.024233791723414354,0.03686189327200867,0.0344733381996493,0.01262810154859432,0.01916213246285378,0.09251964900334277,0.07989154745474844,1.0,1.0,1.0,0.0,0.0
8,initial,0.7373206368959655,0.6595162168468538,0.5304605606728964,0.3,0.26666666666666666,0.3,53.102210998535156,0.0,0.04840195044118068,0.07544663608114159,0.02704468563996091,0.02704468563996091,0.07073301833777326,0.09251964900334277,0.06547496336338185,0.0,1.0,1.0,0.0,1.0
9,final,0.05632240358226202,0.47323903598928874,-0.026098512205691173,0.13333333333333333,0.13333333333333333,0.36666666666666664,92.00534057617188,0.024002209009048793,0.012841820469565663,0.023652363932021317,0.03481275247150445,0.010810543462455654,0.018059959177384267,0.13741089432407144,0.12660035086161578,1.0,1.0,1.0,0.0,0.0
9,initial,0.4169157435082612,0.8419520216891299,0.2629793664374048,0.13333333333333333,0.1,0.43333333333333335,87.82014465332031,0.008720259135945513,0.02615779499905894,0.030879144868182613,0.013441609005069185,0.004721349869123673,0.03898140247693867,0.13741089432407144,0.13268954445494777,1.0,1.0,1.0,0.0,0.0
10,final,0.08280625340281558,0.8087289858776208,0.17295792175468616,0.1,0.06666666666666667,0.5,140.55490112304688,0.014388636520902439,0.01531533332240496,0.03392233065806904,0.032995633856566516,0.018606997335664077,0.01942773235525846,0.21277981402566812,0.19417281669000405,1.0,1.0,1.0,0.0,0.0
10,initial,0.26760386226513627,0.4517965755175057,0.05262769586328736,0.16666666666666666,0.13333333333333333,0.3,373.7525939941406,0.006603901003250916,0.06711179865465688,0.0823989843252373,0.021891086673831328,0.015287185670580412,0.06843064103040739,0.21277981402566812,0.1974926283550877,0.0,1.0,1.0,0.0,1.0
11,final,0.028013200146668294,0.2481227569195213,-0.04571784130934788,0.0,0.06666666666666667,0.4,348.6968994140625,0.008209625872011753,0.24538048811853902,0.28336024280979255,0.046189380563265284,0.03797975469125353,0.24538048811870378,0.2833602428029703,0.24538048811171675,0.0,0.0,1.0,1.0,1.0
11,initial,0.22234513716819074,-0.4049036100401115,-0.03521461349570551,0.2,0.1,0.43333333333333335,30.0233154296875,0.10084166291044813,0.08593378382890879,0.2867370975511667,0.30164497663270606,0.20080331372225793,0.08360893629480418,0.2833602428029703,0.08255692908071235,0.0,0.0,0.0,0.0,0.0
12,final,0.11553150590562115,-0.8068742986033178,-0.11710352337248192,0.16666666666666666,0.03333333333333333,0.6,50.184234619140625,0.31483720413096705,0.2622207135459384,0.36112399494352965,0.4137404855285583,0.09890328139759126,0.24256373564378064,0.4744614993456912,0.37555821794809996,0.0,0.0,0.0,0.0,0.0
12,initial,0.3398273314147935,-0.14516383515372394,0.15703907821198013,0.16666666666666666,0.2,0.5,63.46728515625,0.10332463081681809,0.09189592557142756,0.3325259872022816,0.34395469244767213,0.24063006163085404,0.18289831275773483,0.4744614993456912,0.23383143771483716,0.0,0.0,0.0,0.0,0.0
