dataset,task,model,strategy,regime,n_transitions,n_effect,effect_threshold,cra_top1,cra_top1_lo,cra_top1_hi,cra_top1_eff,cra_top1_eff_lo,cra_top1_eff_hi,cra_mrr,cra_mrr_lo,cra_mrr_hi,aug,aug_lo,aug_hi,ecs,ecs_lo,ecs_hi,status
robocasa,all,dino_wm_droid,random,free_space,2089,0.0,43.33546829223633,0.996649114408808,0.9941278223891148,0.9985611134472304,,,,0.998324557204404,0.9970472440944882,0.9993298406679406,-3.376764335833194e-06,-8.296134773118021e-06,-2.0141007087974162e-07,,,,ok
robocasa,all,dino_wm_droid,opposite,free_space,2089,0.0,43.33546829223633,1.0,1.0,1.0,,,,1.0,1.0,1.0,-1.5780679228889024e-07,-2.864819146897768e-06,2.9651536441933454e-06,,,,ok
robocasa,all,dino_wm_droid,hard_nn,free_space,2089,0.0,43.33546829223633,0.02584968884633796,0.0048053675972945555,0.057183240950296574,,,,0.1602087971491783,0.13496203665159678,0.19147449137397082,-4.6125692063510104e-06,-1.346432515713059e-05,5.276433888955366e-07,,,,ok
robocasa,all,dino_wm_droid,random,pre_grasp,2091,2090.0,43.33546829223633,0.7828790052606408,0.7243810902480076,0.8311000858820415,0.7827751196172249,0.7182678744455211,0.8338072100145635,0.8488569107959568,0.8055052242456646,0.8822783668004426,0.011190865211997632,0.00817704652572542,0.01446897273970228,0.011196205533292305,0.008485502345831676,0.014516856270503545,ok
robocasa,all,dino_wm_droid,opposite,pre_grasp,2091,2090.0,43.33546829223633,0.989478718316595,0.9849066649466804,0.9934574903731724,0.9894736842105263,0.985042121592407,0.993215986956119,0.9946596524836286,0.9925082408857745,0.9965528556820277,0.012246348786901368,0.009089382151646012,0.015500018202242208,0.012229988677649977,0.009366433180012434,0.01565359027749371,ok
robocasa,all,dino_wm_droid,hard_nn,pre_grasp,2091,2090.0,43.33546829223633,0.15853658536585366,0.1318590025517084,0.19516613586801435,0.15861244019138757,0.13120185781804503,0.19387331114249826,0.29053654988478494,0.26936758229056845,0.3188299166630064,0.011775543288800318,0.00862434103033036,0.015218277733454773,0.011780030551281842,0.008954794625876498,0.015259838255215446,ok
robocasa,all,dino_wm_droid,random,gripper_actuation,0,,,,,,,,,,,,,,,,,,insufficient_data
robocasa,all,dino_wm_droid,opposite,gripper_actuation,0,,,,,,,,,,,,,,,,,,insufficient_data
robocasa,all,dino_wm_droid,hard_nn,gripper_actuation,0,,,,,,,,,,,,,,,,,,insufficient_data
robocasa,all,dino_wm_droid,random,contact_manipulation,0,,,,,,,,,,,,,,,,,,insufficient_data
robocasa,all,dino_wm_droid,opposite,contact_manipulation,0,,,,,,,,,,,,,,,,,,insufficient_data
robocasa,all,dino_wm_droid,hard_nn,contact_manipulation,0,,,,,,,,,,,,,,,,,,insufficient_data
