snapshot,budget,start_distance_m,nominal_support_success,terminal_success,event_success,terminal_final_distance_m,event_final_distance_m,terminal_final_stage,event_final_stage
1,16,0.1917106049261549,1,1,1,0.016314870767136933,0.016314870767136933,5,5
2,16,0.26701020854311214,1,1,1,0.032813899736515384,0.032909936615586714,5,5
3,16,0.12202146639335357,1,1,1,0.015556091075475627,0.01539003651251088,5,5
4,16,0.283265956944221,1,1,1,0.00872369926457794,0.01916286365294832,5,5
5,16,0.14807390397759074,1,1,1,0.03918060785344129,0.01799004559331316,5,5
6,16,0.12846339048266328,1,1,1,0.00872935097710669,0.017418725306745618,5,5
7,16,0.13742206297340392,1,1,1,0.024939090985631688,0.03245633197802542,5,5
8,16,0.3314612668898685,1,1,1,0.03036880763327232,0.03439972994474463,5,5
9,16,0.22015042664774964,1,1,1,0.011320535170986771,0.011320535170986771,5,5
10,16,0.264324594247964,1,1,1,0.03681558863560342,0.02725897500221874,5,5
11,16,0.33096736857069503,1,1,1,0.009747019269432151,0.009747019269432151,5,5
12,16,0.184663496658143,1,1,1,0.02863339042679789,0.03393036528708872,5,5
13,16,0.2593175189634804,1,1,1,0.00801502065947944,0.02030852169981042,5,5
14,16,0.18860668017569868,1,1,1,0.02726911140494825,0.02726911140494825,5,5
15,16,0.1845868209274934,1,1,1,0.015724980272100054,0.02425796385379153,5,5
16,16,0.28120264045171484,1,1,1,0.02794219616035587,0.02794219616035587,5,5
17,16,0.17946741012891024,1,1,1,0.015428499825058959,0.009093726392394011,5,5
18,16,0.14049092449580516,1,1,1,0.019402376071046668,0.006955837343381682,5,5
19,16,0.1952738954696596,1,1,1,0.0015060549108569,0.009690696634217746,5,5
20,16,0.19655936532078017,1,1,1,0.0074849867249710345,0.0074849867249710345,5,5
21,16,0.19965531707399134,1,1,1,0.017767528292132323,0.03125942429616445,5,5
22,16,0.22734463518499592,1,1,1,0.021416624165696948,0.0092273290073631,5,5
23,16,0.18495769113850521,1,1,1,0.030956620124234602,0.017294439357255945,5,5
24,16,0.2089557900647726,1,1,1,0.023910575487855117,0.030467519731509095,5,5
25,16,0.16482744824391166,1,1,1,0.030556004136804687,0.02982484706112172,5,5
26,16,0.09676026213781098,1,1,1,0.027457414589982247,0.029394515039020776,5,5
27,16,0.14365807855482193,1,1,1,0.03561733525143223,0.03561733525143223,5,5
28,16,0.09362200530573357,1,1,1,0.03197728872980826,0.03197728872980826,5,5
29,16,0.23270436834579666,1,1,1,0.014034067494043788,0.014034067494043788,5,5
30,16,0.28892070788529844,1,1,1,0.030241382911571885,0.03783367066994851,5,5
31,16,0.14684589910462859,1,1,1,0.0028237078360783463,0.0028237078360783463,5,5
32,16,0.1302225960494281,1,1,1,0.005864890148700963,0.032449533555200055,5,5
33,16,0.16461269942469695,1,1,1,0.03200441996535117,0.033817309924817525,5,5
34,16,0.1775154812547883,1,1,1,0.028664004710203767,0.03445410879659048,5,5
35,16,0.10349977284305495,1,1,1,0.02379449514370559,0.016631876477751956,5,5
36,16,0.3229063649783822,1,1,1,0.007654856054598672,0.007654856054598672,5,5
37,16,0.17460550519132523,1,1,1,0.010715760318163596,0.00782896804303197,5,5
38,16,0.21349351542868203,1,1,1,0.01776865410138108,0.033868990931288555,5,5
39,16,0.16856402138478876,1,1,1,0.02123380683233728,0.02123380683233728,5,5
40,16,0.20919364370029375,1,1,1,0.03491514064371717,0.033276413027654946,5,5
41,16,0.20383009811066755,1,1,1,0.029282726215758052,0.037776038419055705,5,5
42,16,0.2311040091272266,1,1,1,0.008454924404500215,0.008454924404500215,5,5
43,16,0.2235626247206218,1,1,1,0.014976974173209569,0.029375746786764093,5,5
44,16,0.28200590132924663,1,1,1,0.03288364416596562,0.034914425360241044,5,5
45,16,0.14655909568806888,1,1,1,0.03599498117896459,0.03599498117896459,5,5
46,16,0.17113198744503832,1,1,1,0.016806540029769904,0.032925232668300504,5,5
47,16,0.3137582430429397,1,1,1,0.02368212759555767,0.02768944581030174,5,5
48,16,0.19898209055746022,1,1,1,0.03252726301349934,0.03914585744150192,5,5
49,16,0.15760926296185374,1,1,1,0.016541434736762624,0.01841259040551294,5,5
50,16,0.10599481211425192,1,1,1,0.036866917779581565,0.036866917779581565,5,5
51,16,0.3022862731809545,1,1,1,0.020635684389031874,0.020635684389031874,5,5
52,16,0.26692497013059546,1,1,1,0.023899256076361234,0.019528013989226146,5,5
53,16,0.12888886863938356,1,1,1,0.025948104474701427,0.025777258654087795,5,5
54,16,0.15181858944232912,1,1,1,0.022471113526477963,0.037618203149728816,5,5
55,16,0.2790104625481906,1,1,1,0.013707010336191964,0.0320528440767283,5,5
56,16,0.17297203651813042,1,1,1,0.013641340081372194,0.026802281271560407,5,5
57,16,0.16337545251443267,1,1,1,0.019585762741051265,0.026193059361867287,5,5
58,16,0.31004724428102365,1,1,1,0.03330741479410731,0.025022062898977925,5,5
59,16,0.22852621099166234,1,1,1,0.0037242311529603568,0.0037242311529603568,5,5
60,16,0.20510259184670768,1,1,1,0.03597595783281059,0.019759810826311248,5,5
61,16,0.19605156966747156,1,1,1,0.03047452227639347,0.03047452227639347,5,5
62,16,0.3061750859748259,1,1,1,0.013326087432115335,0.013326087432115335,5,5
63,16,0.29959015052880283,1,1,1,0.03408497806091565,0.03261914919046592,5,5
64,16,0.08373611093426135,1,1,1,0.024706781057142913,0.024706781057142913,5,5
1,32,0.1917106049261549,1,1,1,0.029918017027774513,0.029795029147021194,5,5
2,32,0.26701020854311214,1,1,1,0.03230403253519977,0.03897971061880925,5,5
3,32,0.12202146639335357,1,1,1,0.015556091075475627,0.015556091075475627,5,5
4,32,0.283265956944221,1,1,1,0.01580035318776128,0.012900144731576878,5,5
5,32,0.14807390397759074,1,1,1,0.027410731063108085,0.028856667442780357,5,5
6,32,0.12846339048266328,1,1,1,0.0062679058063198735,0.013076013067133881,5,5
7,32,0.13742206297340392,1,1,1,0.03590424437491209,0.03590424437491209,5,5
8,32,0.3314612668898685,1,1,1,0.03439972994474463,0.03594186927695118,5,5
