feature_view,task_id,task_label,budget,n,paired_gain_over_terminal,gain_ci95,paired_gap_to_oracle_q,oracle_gap_ci95
latent,4,task_4,14,8,0.75,"[0.375, 1.0]",0.0,"[-0.375, 0.375]"
latent,5,task_5,14,8,0.125,"[0.0, 0.375]",0.0,"[-0.375, 0.375]"
latent,0,pooled,14,16,0.4375,"[0.1875, 0.6875]",0.0,"[-0.25, 0.25]"
latent,4,task_4,28,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
latent,5,task_5,28,8,0.125,"[0.0, 0.375]",-0.375,"[-0.75, -0.125]"
latent,0,pooled,28,16,0.5625,"[0.3125, 0.8125]",-0.1875,"[-0.375, 0.0]"
latent,4,task_4,56,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
latent,5,task_5,56,8,0.75,"[0.375, 1.0]",0.0,"[-0.5, 0.5]"
latent,0,pooled,56,16,0.875,"[0.6875, 1.0]",0.0,"[-0.25, 0.25]"
latent,4,task_4,112,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
latent,5,task_5,112,8,0.875,"[0.625, 1.0]",-0.125,"[-0.375, 0.0]"
latent,0,pooled,112,16,0.9375,"[0.8125, 1.0]",-0.0625,"[-0.1875, 0.0]"
privileged,4,task_4,14,8,0.75,"[0.375, 1.0]",0.0,"[-0.375, 0.375]"
privileged,5,task_5,14,8,0.0,"[0.0, 0.0]",-0.125,"[-0.375, 0.0]"
privileged,0,pooled,14,16,0.375,"[0.125, 0.625]",-0.0625,"[-0.25, 0.125]"
privileged,4,task_4,28,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
privileged,5,task_5,28,8,0.5,"[0.125, 0.875]",0.0,"[-0.375, 0.375]"
privileged,0,pooled,28,16,0.75,"[0.5, 0.9375]",0.0,"[-0.1875, 0.1875]"
privileged,4,task_4,56,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
privileged,5,task_5,56,8,0.375,"[0.125, 0.75]",-0.375,"[-0.75, -0.125]"
privileged,0,pooled,56,16,0.6875,"[0.4375, 0.875]",-0.1875,"[-0.375, 0.0]"
privileged,4,task_4,112,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]"
privileged,5,task_5,112,8,0.875,"[0.625, 1.0]",-0.125,"[-0.375, 0.0]"
privileged,0,pooled,112,16,0.9375,"[0.8125, 1.0]",-0.0625,"[-0.1875, 0.0]"
