feature_view,task_id,task_label,budget,n,success_rate,success_ci95,visited_exact_q_accuracy,visited_cube_accuracy,visited_window_accuracy
latent,4,task_4,14,8,0.75,"[0.375, 1.0]",0.75,0.75,1.0
latent,5,task_5,14,8,0.125,"[0.0, 0.375]",0.65,0.7375,0.725
latent,0,pooled,14,16,0.4375,"[0.1875, 0.6875]",0.6833333333333333,0.7416666666666667,0.8166666666666667
latent,4,task_4,28,8,1.0,"[1.0, 1.0]",0.9411764705882353,0.9411764705882353,1.0
latent,5,task_5,28,8,0.125,"[0.0, 0.375]",0.6666666666666666,0.7307692307692307,0.7051282051282052
latent,0,pooled,28,16,0.5625,"[0.3125, 0.8125]",0.75,0.7946428571428571,0.7946428571428571
latent,4,task_4,56,8,1.0,"[1.0, 1.0]",0.9411764705882353,0.9411764705882353,1.0
latent,5,task_5,56,8,0.75,"[0.375, 1.0]",0.8529411764705882,0.8529411764705882,0.8529411764705882
latent,0,pooled,56,16,0.875,"[0.6875, 1.0]",0.8823529411764706,0.8823529411764706,0.9019607843137255
latent,4,task_4,112,8,1.0,"[1.0, 1.0]",0.9411764705882353,0.9411764705882353,1.0
latent,5,task_5,112,8,0.875,"[0.625, 1.0]",0.9393939393939394,0.9393939393939394,0.9393939393939394
latent,0,pooled,112,16,0.9375,"[0.8125, 1.0]",0.94,0.94,0.96
privileged,4,task_4,14,8,0.75,"[0.375, 1.0]",0.825,0.825,1.0
privileged,5,task_5,14,8,0.0,"[0.0, 0.0]",0.4,0.5875,0.6125
privileged,0,pooled,14,16,0.375,"[0.125, 0.625]",0.5416666666666666,0.6666666666666666,0.7416666666666667
privileged,4,task_4,28,8,1.0,"[1.0, 1.0]",1.0,1.0,1.0
privileged,5,task_5,28,8,0.5,"[0.125, 0.875]",0.6052631578947368,0.8552631578947368,0.6842105263157895
privileged,0,pooled,28,16,0.75,"[0.5, 0.9375]",0.7222222222222222,0.8981481481481481,0.7777777777777778
privileged,4,task_4,56,8,1.0,"[1.0, 1.0]",1.0,1.0,1.0
privileged,5,task_5,56,8,0.375,"[0.125, 0.75]",0.5454545454545454,0.8701298701298701,0.6103896103896104
privileged,0,pooled,56,16,0.6875,"[0.4375, 0.875]",0.6788990825688074,0.908256880733945,0.7247706422018348
privileged,4,task_4,112,8,1.0,"[1.0, 1.0]",1.0,1.0,1.0
privileged,5,task_5,112,8,0.875,"[0.625, 1.0]",0.8823529411764706,0.9117647058823529,0.9411764705882353
privileged,0,pooled,112,16,0.9375,"[0.8125, 1.0]",0.92,0.94,0.96
