task_id,observer_seed,decision,n_visits,exact_q_accuracy
4,0,0,64,1.0
4,0,1,64,1.0
4,0,2,64,1.0
4,0,3,64,0.9375
4,0,4,4,0.25
4,0,5,3,0.0
4,1,0,64,1.0
4,1,1,64,1.0
4,1,2,64,1.0
4,1,3,64,0.921875
4,1,4,5,0.2
4,1,5,4,0.0
4,2,0,64,1.0
4,2,1,64,1.0
4,2,2,64,1.0
4,2,3,64,0.9375
4,2,4,4,0.25
4,2,5,3,0.0
5,0,0,64,1.0
5,0,1,64,1.0
5,0,2,64,0.984375
5,0,3,64,0.578125
5,0,4,64,0.953125
5,0,5,64,0.953125
5,0,6,64,0.875
5,0,7,64,0.875
5,0,8,8,0.125
5,0,9,8,0.0
5,1,0,64,1.0
5,1,1,64,1.0
5,1,2,64,0.984375
5,1,3,64,0.578125
5,1,4,64,0.578125
5,1,5,64,0.609375
5,1,6,64,0.53125
5,1,7,64,0.546875
5,1,8,32,0.09375
5,1,9,29,0.0
5,2,0,64,1.0
5,2,1,64,1.0
5,2,2,64,0.984375
5,2,3,64,0.578125
5,2,4,64,0.578125
5,2,5,64,0.84375
5,2,6,64,0.78125
5,2,7,64,0.796875
5,2,8,31,0.5806451612903226
5,2,9,14,0.07142857142857142
