task_id,observer_seed,true_cube_stage,true_window_stage,n_visits,exact_q_accuracy
4,0,0,0,64,1.0
4,0,1,0,64,1.0
4,0,2,0,64,1.0
4,0,3,0,71,0.8591549295774648
4,1,0,0,64,1.0
4,1,1,0,64,1.0
4,1,2,0,64,1.0
4,1,3,0,73,0.821917808219178
4,2,0,0,64,1.0
4,2,1,0,64,1.0
4,2,2,0,64,1.0
4,2,3,0,71,0.8591549295774648
5,0,0,0,64,1.0
5,0,0,1,63,1.0
5,0,0,2,63,1.0
5,0,0,3,37,1.0
5,0,1,0,1,1.0
5,0,1,1,8,0.0
5,0,1,2,26,0.0
5,0,1,3,73,0.8356164383561644
5,0,2,3,69,0.8985507246376812
5,0,3,3,68,0.8235294117647058
5,0,4,3,56,1.0
5,1,0,0,64,1.0
5,1,0,1,63,1.0
5,1,0,2,63,1.0
5,1,0,3,37,1.0
5,1,1,0,1,1.0
5,1,1,1,1,0.0
5,1,1,2,179,0.0
5,1,1,3,39,1.0
5,1,2,3,43,0.9069767441860465
5,1,3,3,48,0.7291666666666666
5,1,4,3,35,1.0
5,2,0,0,64,1.0
5,2,0,1,63,1.0
5,2,0,2,63,1.0
5,2,0,3,37,1.0
5,2,1,0,1,1.0
5,2,1,1,1,0.0
5,2,1,2,96,0.0
5,2,1,3,57,0.9649122807017544
5,2,2,3,62,0.8870967741935484
5,2,3,3,63,0.8095238095238095
5,2,4,3,50,1.0
