task_id,observer_seed,condition,n,success_rate
4,0,no_q_error,60,1.0
4,0,any_q_error,4,0.25
4,1,no_q_error,59,1.0
4,1,any_q_error,5,0.2
4,2,no_q_error,60,1.0
4,2,any_q_error,4,0.25
5,0,no_q_error,33,1.0
5,0,any_q_error,31,0.7419354838709677
5,1,no_q_error,32,1.0
5,1,any_q_error,32,0.09375
5,2,no_q_error,33,1.0
5,2,any_q_error,31,0.5483870967741935
0,0,no_q_error,93,1.0
0,0,any_q_error,35,0.6857142857142857
0,1,no_q_error,91,1.0
0,1,any_q_error,37,0.10810810810810811
0,2,no_q_error,93,1.0
0,2,any_q_error,35,0.5142857142857142
