task_id,reset_seed,seed0_success,seed1_success,seed2_success,observer_outcome_disagreement,oracle_success
4,84400,1,1,1,0,1
4,84401,1,1,1,0,1
4,84402,1,1,1,0,1
4,84403,1,1,1,0,1
4,84404,1,1,1,0,1
4,84405,1,1,1,0,1
4,84406,1,1,1,0,1
4,84407,0,0,0,0,1
4,84408,1,1,1,0,1
4,84409,1,1,1,0,1
4,84410,1,1,1,0,1
4,84411,1,1,1,0,1
4,84412,1,1,1,0,1
4,84413,1,1,1,0,1
4,84414,1,1,1,0,1
4,84415,1,1,1,0,1
4,84416,1,1,1,0,1
4,84417,1,1,1,0,1
4,84418,1,1,1,0,1
4,84419,1,1,1,0,1
4,84420,0,0,0,0,1
4,84421,1,1,1,0,1
4,84422,1,1,1,0,1
4,84423,1,1,1,0,1
4,84424,1,1,1,0,1
4,84425,1,1,1,0,1
4,84426,1,1,1,0,1
4,84427,1,1,1,0,1
4,84428,1,1,1,0,1
4,84429,1,1,1,0,1
4,84430,1,1,1,0,1
4,84431,1,1,1,0,1
4,84432,1,1,1,0,1
4,84433,1,1,1,0,1
4,84434,1,1,1,0,1
4,84435,0,0,0,0,1
4,84436,1,1,1,0,1
4,84437,1,1,1,0,1
4,84438,1,1,1,0,1
4,84439,1,1,1,0,1
4,84440,1,0,1,1,1
4,84441,1,1,1,0,1
4,84442,1,1,1,0,1
4,84443,1,1,1,0,1
4,84444,1,1,1,0,1
4,84445,1,1,1,0,1
4,84446,1,1,1,0,1
4,84447,1,1,1,0,1
4,84448,1,1,1,0,1
4,84449,1,1,1,0,1
4,84450,1,1,1,0,1
4,84451,1,1,1,0,1
4,84452,1,1,1,0,1
4,84453,1,1,1,0,1
4,84454,1,1,1,0,1
4,84455,1,1,1,0,1
4,84456,1,1,1,0,1
4,84457,1,1,1,0,1
4,84458,1,1,1,0,1
4,84459,1,1,1,0,1
4,84460,1,1,1,0,1
4,84461,1,1,1,0,1
4,84462,1,1,1,0,1
4,84463,1,1,1,0,1
5,84500,1,1,1,0,1
5,84501,1,0,0,1,0
5,84502,1,1,1,0,0
5,84503,1,0,1,1,0
5,84504,1,0,0,1,1
5,84505,1,1,1,0,1
5,84506,1,1,1,0,1
5,84507,1,0,1,1,0
5,84508,1,0,0,1,0
5,84509,1,0,1,1,1
5,84510,0,0,1,1,0
5,84511,1,1,1,0,1
5,84512,1,0,1,1,1
5,84513,1,1,1,0,1
5,84514,0,0,0,0,1
5,84515,0,0,0,0,1
5,84516,1,0,1,1,0
5,84517,1,1,1,0,1
5,84518,1,0,1,1,0
5,84519,1,1,1,0,1
5,84520,1,1,1,0,1
5,84521,1,1,1,0,1
5,84522,1,1,1,0,1
5,84523,1,0,1,1,1
5,84524,1,1,1,0,1
5,84525,1,0,1,1,1
5,84526,1,0,0,1,0
5,84527,0,0,0,0,1
5,84528,1,1,1,0,1
5,84529,0,0,0,0,1
5,84530,0,0,0,0,0
5,84531,1,1,1,0,1
5,84532,1,0,1,1,1
5,84533,1,1,1,0,1
5,84534,1,0,1,1,1
5,84535,1,1,1,0,1
5,84536,1,0,1,1,1
5,84537,0,0,0,0,0
5,84538,1,1,1,0,1
5,84539,1,1,1,0,1
5,84540,1,1,1,0,1
5,84541,1,1,1,0,1
5,84542,1,1,1,0,1
5,84543,1,1,1,0,1
5,84544,1,1,1,0,1
5,84545,1,1,1,0,1
5,84546,1,1,1,0,1
5,84547,1,1,1,0,1
5,84548,1,1,1,0,1
5,84549,1,0,1,1,1
5,84550,1,1,1,0,1
5,84551,1,1,1,0,1
5,84552,1,0,0,1,0
5,84553,0,0,0,0,1
5,84554,1,0,1,1,0
5,84555,1,1,1,0,1
5,84556,1,0,0,1,0
5,84557,1,1,1,0,1
5,84558,1,0,0,1,0
5,84559,1,1,1,0,1
5,84560,1,0,1,1,1
5,84561,1,1,1,0,1
5,84562,1,1,1,0,1
5,84563,1,1,1,0,1
