task_id,reset_seed,budget,terminal_success,event_success,paired_difference,terminal_replans,event_replans,terminal_eval_skill_calls,event_eval_skill_calls
4,74400,14,0,1,1,6,5,336,280
4,74400,28,0,1,1,6,4,672,448
4,74401,14,0,0,0,6,6,336,336
4,74401,28,0,1,1,6,4,672,448
4,74402,14,0,1,1,6,4,336,224
4,74402,28,0,1,1,6,4,672,448
4,74403,14,0,1,1,6,4,336,224
4,74403,28,0,1,1,6,4,672,448
4,74404,14,0,1,1,6,4,336,224
4,74404,28,0,1,1,6,4,672,448
4,74405,14,0,1,1,6,6,336,336
4,74405,28,0,1,1,6,4,672,448
4,74406,14,0,0,0,6,6,336,336
4,74406,28,0,1,1,6,4,672,448
4,74407,14,0,1,1,6,4,336,224
4,74407,28,0,1,1,6,4,672,448
4,74408,14,0,1,1,6,4,336,224
4,74408,28,0,1,1,6,4,672,448
4,74409,14,0,0,0,6,6,336,336
4,74409,28,0,0,0,6,6,672,672
4,74410,14,0,0,0,6,6,336,336
4,74410,28,1,1,0,6,4,672,448
4,74411,14,0,1,1,6,4,336,224
4,74411,28,0,1,1,6,4,672,448
4,74412,14,0,1,1,6,5,336,280
4,74412,28,0,1,1,6,4,672,448
4,74413,14,0,1,1,6,4,336,224
4,74413,28,0,1,1,6,4,672,448
4,74414,14,0,1,1,6,4,336,224
4,74414,28,0,1,1,6,4,672,448
4,74415,14,0,1,1,6,4,336,224
4,74415,28,0,1,1,6,4,672,448
5,74500,14,0,1,1,10,8,560,448
5,74500,28,0,1,1,10,9,1120,1008
5,74501,14,0,1,1,10,8,560,448
5,74501,28,0,1,1,10,8,1120,896
5,74502,14,0,1,1,10,10,560,560
5,74502,28,0,1,1,10,8,1120,896
5,74503,14,0,0,0,10,10,560,560
5,74503,28,0,1,1,10,8,1120,896
5,74504,14,0,0,0,10,10,560,560
5,74504,28,0,1,1,10,8,1120,896
5,74505,14,0,0,0,10,10,560,560
5,74505,28,0,1,1,10,8,1120,896
5,74506,14,1,0,-1,10,10,560,560
5,74506,28,0,1,1,10,9,1120,1008
5,74507,14,0,0,0,10,10,560,560
5,74507,28,0,1,1,10,8,1120,896
5,74508,14,0,1,1,10,10,560,560
5,74508,28,0,1,1,10,8,1120,896
5,74509,14,0,1,1,10,8,560,448
5,74509,28,0,1,1,10,8,1120,896
5,74510,14,0,1,1,10,9,560,504
5,74510,28,0,1,1,10,8,1120,896
5,74511,14,0,0,0,10,10,560,560
5,74511,28,0,1,1,10,8,1120,896
5,74512,14,0,0,0,10,10,560,560
5,74512,28,0,1,1,10,9,1120,1008
5,74513,14,0,1,1,10,10,560,560
5,74513,28,0,1,1,10,9,1120,1008
5,74514,14,0,0,0,10,10,560,560
5,74514,28,0,1,1,10,10,1120,1120
5,74515,14,0,0,0,10,10,560,560
5,74515,28,0,1,1,10,8,1120,896
