feature_view,head,task_id,task_label,budget,n,success_rate,ci95,mean_replans
latent,event_bce,0,pooled,14,16,0.0,"[0.0, 0.0]",8.0
latent,event_bce,0,pooled,28,16,0.0625,"[0.0, 0.1875]",7.875
latent,event_bce,4,task_4,14,8,0.0,"[0.0, 0.0]",6.0
latent,event_bce,4,task_4,28,8,0.0,"[0.0, 0.0]",6.0
latent,event_bce,5,task_5,14,8,0.0,"[0.0, 0.0]",10.0
latent,event_bce,5,task_5,28,8,0.125,"[0.0, 0.375]",9.75
latent,event_time,0,pooled,14,16,0.0,"[0.0, 0.0]",8.0
latent,event_time,0,pooled,28,16,0.0,"[0.0, 0.0]",8.0
latent,event_time,4,task_4,14,8,0.0,"[0.0, 0.0]",6.0
latent,event_time,4,task_4,28,8,0.0,"[0.0, 0.0]",6.0
latent,event_time,5,task_5,14,8,0.0,"[0.0, 0.0]",10.0
latent,event_time,5,task_5,28,8,0.0,"[0.0, 0.0]",10.0
latent,terminal,0,pooled,14,16,0.0,"[0.0, 0.0]",8.0
latent,terminal,0,pooled,28,16,0.0,"[0.0, 0.0]",8.0
latent,terminal,4,task_4,14,8,0.0,"[0.0, 0.0]",6.0
latent,terminal,4,task_4,28,8,0.0,"[0.0, 0.0]",6.0
latent,terminal,5,task_5,14,8,0.0,"[0.0, 0.0]",10.0
latent,terminal,5,task_5,28,8,0.0,"[0.0, 0.0]",10.0
privileged,event_bce,0,pooled,14,16,0.0,"[0.0, 0.0]",8.0
privileged,event_bce,0,pooled,28,16,0.0,"[0.0, 0.0]",8.0
privileged,event_bce,4,task_4,14,8,0.0,"[0.0, 0.0]",6.0
privileged,event_bce,4,task_4,28,8,0.0,"[0.0, 0.0]",6.0
privileged,event_bce,5,task_5,14,8,0.0,"[0.0, 0.0]",10.0
privileged,event_bce,5,task_5,28,8,0.0,"[0.0, 0.0]",10.0
privileged,event_time,0,pooled,14,16,0.0,"[0.0, 0.0]",8.0
privileged,event_time,0,pooled,28,16,0.0,"[0.0, 0.0]",8.0
privileged,event_time,4,task_4,14,8,0.0,"[0.0, 0.0]",6.0
privileged,event_time,4,task_4,28,8,0.0,"[0.0, 0.0]",6.0
privileged,event_time,5,task_5,14,8,0.0,"[0.0, 0.0]",10.0
privileged,event_time,5,task_5,28,8,0.0,"[0.0, 0.0]",10.0
privileged,terminal,0,pooled,14,16,0.0,"[0.0, 0.0]",8.0
privileged,terminal,0,pooled,28,16,0.0,"[0.0, 0.0]",8.0
privileged,terminal,4,task_4,14,8,0.0,"[0.0, 0.0]",6.0
privileged,terminal,4,task_4,28,8,0.0,"[0.0, 0.0]",6.0
privileged,terminal,5,task_5,14,8,0.0,"[0.0, 0.0]",10.0
privileged,terminal,5,task_5,28,8,0.0,"[0.0, 0.0]",10.0
