task_id,task_label,budget,n,event_success_rate,event_ci95,terminal_success_rate,terminal_ci95,paired_difference,paired_ci95,event_only,terminal_only,mcnemar_exact_p
4,task_4,7,8,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0,0,1.0
5,task_5,7,8,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0,0,1.0
0,pooled,7,16,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0,0,1.0
4,task_4,14,8,0.75,"[0.375, 1.0]",0.0,"[0.0, 0.0]",0.75,"[0.375, 1.0]",6,0,0.03125
5,task_5,14,8,0.125,"[0.0, 0.375]",0.0,"[0.0, 0.0]",0.125,"[0.0, 0.375]",1,0,1.0
0,pooled,14,16,0.4375,"[0.1875, 0.6875]",0.0,"[0.0, 0.0]",0.4375,"[0.1875, 0.6875]",7,0,0.015625
4,task_4,28,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",8,0,0.0078125
5,task_5,28,8,0.5,"[0.125, 0.875]",0.0,"[0.0, 0.0]",0.5,"[0.125, 0.875]",4,0,0.125
0,pooled,28,16,0.75,"[0.5, 0.9375]",0.0,"[0.0, 0.0]",0.75,"[0.5, 0.9375]",12,0,0.00048828125
4,task_4,56,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",8,0,0.0078125
5,task_5,56,8,0.75,"[0.5, 1.0]",0.0,"[0.0, 0.0]",0.75,"[0.375, 1.0]",6,0,0.03125
0,pooled,56,16,0.875,"[0.6875, 1.0]",0.0,"[0.0, 0.0]",0.875,"[0.6875, 1.0]",14,0,0.0001220703125
4,task_4,112,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",8,0,0.0078125
5,task_5,112,8,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",8,0,0.0078125
0,pooled,112,16,1.0,"[1.0, 1.0]",0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",16,0,3.0517578125e-05
