tag,task,seed,replan,phase,rho,recall,r_sel_cm,n
dino_pick_l2,mw-pick-place,41000,0,init,0.1675487548754875,0.2,0.0,100
dino_pick_l2,mw-pick-place,41000,0,final,-0.7953435343534352,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,1,init,-0.1797299729972997,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,1,final,-0.19182718271827182,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,2,init,-0.3857305730573057,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,2,final,-0.24008400840084007,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,3,init,-0.28768076807680765,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,3,final,0.03905190519051904,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,4,init,-0.30448244824482446,0.1,0.0,100
dino_pick_l2,mw-pick-place,41000,4,final,-0.13704170417041703,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,5,init,0.14298229822982295,0.1,0.0,100
dino_pick_l2,mw-pick-place,41000,5,final,0.331005100510051,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,6,init,0.4512451245124512,0.0,0.0,100
dino_pick_l2,mw-pick-place,41000,6,final,0.045892589258925885,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,0,init,0.29503750375037496,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,0,final,-0.01843384338433843,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,1,init,-0.13389738973897386,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,1,final,-0.8055205520552055,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,2,init,-0.3902910291029103,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,2,final,-0.03799579957995799,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,3,init,-0.5666126612661265,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,3,final,-0.09939393939393938,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,4,init,-0.15403540354035403,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,4,final,0.10396639663966396,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,5,init,-0.27762376237623765,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,5,final,0.1511191119111911,0.0,0.0,100
dino_pick_l2,mw-pick-place,41001,6,init,0.12924092409240923,0.1,0.0,100
dino_pick_l2,mw-pick-place,41001,6,final,-0.12756075607560755,0.0,0.0,100
dino_pick_l2,mw-pick-place,41002,0,init,0.7068826882688267,0.2,0.0,100
dino_pick_l2,mw-pick-place,41002,0,final,0.15697569756975696,0.1,0.0,100
dino_pick_l2,mw-pick-place,41002,1,init,0.1987158715871587,0.2,0.0070989131927490234,100
dino_pick_l2,mw-pick-place,41002,1,final,0.01585358535853585,0.0,0.0,100
dino_pick_l2,mw-pick-place,41002,2,init,-0.26895889588958893,0.0,0.0,100
dino_pick_l2,mw-pick-place,41002,2,final,-0.3709450945094509,0.0,0.0,100
dino_pick_l2,mw-pick-place,41002,3,init,-0.587074707470747,0.0,0.0,100
dino_pick_l2,mw-pick-place,41002,3,final,0.28398439843984397,0.1,0.0,100
dino_pick_l2,mw-pick-place,41002,4,init,0.42514251425142513,0.3,0.0,100
dino_pick_l2,mw-pick-place,41002,4,final,0.3033663366336633,0.0,0.0,100
dino_pick_l2,mw-pick-place,41002,5,init,0.7852505250525053,0.5,0.0,100
dino_pick_l2,mw-pick-place,41002,5,final,0.10178217821782176,0.0,0.0,100
dino_pick_l2,mw-pick-place,41002,6,init,0.3946354635463546,0.3,0.0,100
dino_pick_l2,mw-pick-place,41002,6,final,-0.11433543354335432,0.0,0.0,100
dino_pick_l2,mw-pick-place,41003,0,init,0.13393339333933393,0.0,0.0,100
dino_pick_l2,mw-pick-place,41003,0,final,-0.16969696969696968,0.0,0.0,100
dino_pick_l2,mw-pick-place,41003,1,init,-0.18214221422142213,0.0,0.0,100
dino_pick_l2,mw-pick-place,41003,1,final,0.006336633663366335,0.0,0.0,100
dino_pick_l2,mw-pick-place,41003,2,init,-0.6277707770777077,0.0,0.0,100
dino_pick_l2,mw-pick-place,41003,2,final,0.002724272427242724,0.0,0.0,100
