episode,gamma,object_x0,object_y0,goal_x,goal_y,oracle_cost,median_cost,cost_improvement,relative_cost_reduction,oracle_final_distance,median_final_distance,oracle_final_speed,median_final_speed,oracle_min_distance,median_min_distance,oracle_reach,median_reach,oracle_settled_success,median_settled_success,oracle_contact_steps,median_contact_steps,oracle_max_overlap,median_max_overlap
0,0.7414532,-0.012417281,-0.041644797,0.008069382,-0.38113824,0.010956458,0.25449917,0.24354272,0.956949,0.00037798772,0.2349775,0.16975361,0.30405644,0.00037798772,0.006979618,1.0,1.0,1.0,0.0,5.0,9.0,0.01718247,0.020434871
1,3.2771533,0.08014853,0.119307324,0.49732578,-0.05070381,0.018020684,0.13688193,0.11886125,0.8683487,0.0132351555,0.11699044,0.026658135,0.017685816,0.0132351555,0.11699044,1.0,0.0,1.0,0.0,7.0,6.0,0.03139092,0.031091034
2,2.753057,0.105133235,-0.05737835,0.53394866,0.078346826,0.004927496,0.07304373,0.06811623,0.9325405,0.0012959692,0.06088993,0.044195406,0.038932554,0.0012959692,0.06088993,1.0,1.0,1.0,1.0,8.0,8.0,0.02700983,0.024037465
3,2.756574,0.019925945,0.005424784,-0.32267216,0.09260291,0.0209202,0.06274931,0.04182911,0.66660666,0.015771132,0.052527722,0.04397755,0.0331668,0.0131244175,0.052527722,1.0,1.0,1.0,1.0,9.0,9.0,0.022647217,0.022537455
4,1.3784382,-0.02549481,-0.012438344,0.45540285,-0.07841678,0.011262201,0.1923253,0.18106309,0.9414419,0.0020442016,0.1793615,0.14021638,0.19250004,0.0020442016,0.0023882024,1.0,1.0,1.0,0.0,6.0,6.0,0.02662737,0.03175106
5,3.2381718,0.034509007,-0.050645847,-0.40833658,0.060421344,0.0064031286,0.12564553,0.11924241,0.94903815,0.003515287,0.107370034,0.032717746,0.019882854,0.003515287,0.107370034,1.0,0.0,1.0,0.0,9.0,7.0,0.027504392,0.029509686
6,3.5830166,0.044420183,0.013969324,0.437707,-0.0945764,0.006711006,0.14422005,0.13750905,0.9534669,0.0041878996,0.1243294,0.019744132,0.011023164,0.0041878996,0.1243294,1.0,0.0,1.0,0.0,8.0,6.0,0.030321248,0.030652747
7,1.0184735,0.019462219,-0.03000364,-0.31830147,0.41293573,0.019358525,0.32450545,0.30514693,0.9403446,0.004457835,0.30158147,0.22755806,0.35965154,0.004457835,0.005626017,1.0,1.0,0.0,0.0,8.0,9.0,0.022001728,0.026987731
8,1.5742402,-0.10179676,0.023241386,0.091076225,-0.41872415,0.011857192,0.15242876,0.14057156,0.9222115,0.0035444496,0.14092208,0.11995772,0.15431048,0.0035444496,0.0066328994,1.0,1.0,1.0,0.0,6.0,6.0,0.028895214,0.033491097
9,1.905778,-0.017644629,-0.09760164,-0.3400901,0.3278502,0.028219398,0.11884769,0.090628296,0.76255834,0.017429896,0.10595779,0.11667994,0.1556055,0.017429896,0.020762702,1.0,1.0,1.0,0.0,9.0,11.0,0.021072716,0.02181749
10,1.3025905,0.06583505,0.0942701,0.05572036,0.5602913,0.012328016,0.21141294,0.19908492,0.9416875,0.0027965766,0.19667418,0.14333327,0.20156378,0.0027965766,0.010816859,1.0,1.0,1.0,0.0,5.0,6.0,0.025387034,0.031310238
11,3.9182765,0.023514623,-0.010386822,-0.12333785,-0.38438195,0.016754275,0.15826936,0.14151509,0.8941408,0.013666794,0.13647905,0.01873763,0.009576757,0.009376885,0.13647905,1.0,0.0,1.0,0.0,11.0,8.0,0.02621071,0.023886755
12,2.3046005,0.07073644,-0.099708155,0.010268791,0.28289032,0.024298046,0.023375457,-0.00092258863,-0.018451773,0.019422658,0.016890611,0.07680448,0.053318843,0.0009030373,0.016890611,1.0,1.0,1.0,1.0,13.0,8.0,0.021972999,0.02714777
13,2.2069337,-0.021292746,-0.04026659,0.2597677,0.37719056,0.013414102,0.018704552,0.0052904505,0.10580901,0.0066850325,0.011545652,0.0842291,0.10121441,0.0066850325,0.0058653248,1.0,1.0,1.0,1.0,8.0,12.0,0.024523765,0.021523178
14,1.5852509,-0.04721754,-0.06822237,0.29959106,0.09181863,0.009976015,0.10983473,0.099858716,0.9091725,0.0033668953,0.10068306,0.09627795,0.12689804,0.0033668953,0.0066906884,1.0,1.0,1.0,0.0,8.0,8.0,0.022837192,0.024698973
