modality,seed,r2,mae,best_validation_mse_standardized,epochs_ran
raw_pixels,0,0.9851428866386414,0.09275679290294647,0.013382580131292343,60
raw_pixels,1,0.9847499132156372,0.09158781170845032,0.012861877679824829,60
raw_pixels,2,0.9861041903495789,0.09029412269592285,0.011762414127588272,60
frozen_dinov2,0,0.8938912749290466,0.25906792283058167,0.08974764496088028,60
frozen_dinov2,1,0.901324987411499,0.2476188987493515,0.08800376951694489,60
frozen_dinov2,2,0.8997553586959839,0.2511115074157715,0.08904053270816803,60
frozen_raft,0,0.7856911420822144,0.36360645294189453,0.1936420500278473,21
frozen_raft,1,0.8174112439155579,0.3292551040649414,0.1819416731595993,39
frozen_raft,2,0.7959285378456116,0.34763801097869873,0.19742107391357422,30
pixel_centroid,0,0.9690977931022644,0.1366410106420517,0.029582826420664787,60
pixel_centroid,1,0.9710023999214172,0.12775011360645294,0.0281706340610981,60
pixel_centroid,2,0.967943012714386,0.1368819922208786,0.027668286114931107,60
