arm,episode,gamma,true_cost,oracle_cost,median_cost,final_distance,reach,settled_success
mse,0,0.7414531707763672,0.22893219,0.010956458,0.25449917,0.20501484,1.0,0.0
mse,1,3.277153253555298,0.007171128,0.018020684,0.13688193,0.0042158724,1.0,1.0
mse,2,2.7530570030212402,0.06807683,0.004927496,0.07304373,0.055943944,1.0,1.0
mse,3,2.7565739154815674,0.17398882,0.0209202,0.06274931,0.16797762,1.0,0.0
mse,4,1.3784382343292236,0.041840643,0.011262201,0.1923253,0.028743971,1.0,1.0
mse,5,3.2381718158721924,0.17316125,0.0064031286,0.12564553,0.16657574,1.0,0.0
mse,6,3.5830166339874268,0.04613554,0.006711006,0.14422005,0.040470004,1.0,1.0
mse,7,1.018473505973816,0.16970399,0.019358525,0.32450545,0.14061812,0.0,0.0
mse,8,1.5742402076721191,0.17961246,0.011857192,0.15242876,0.15748112,1.0,0.0
mse,9,1.9057780504226685,0.13706498,0.028219398,0.11884769,0.117151566,1.0,0.0
mse,10,1.3025904893875122,0.1116766,0.012328016,0.21141294,0.09072133,0.0,1.0
mse,11,3.91827654838562,0.13076459,0.016754275,0.15826936,0.112859674,0.0,0.0
mse,12,2.304600477218628,0.066251524,0.024298046,0.023375457,0.054726295,1.0,1.0
mse,13,2.2069337368011475,0.14831178,0.013414102,0.018704552,0.12514995,0.0,0.0
mse,14,1.5852508544921875,0.14392632,0.009976015,0.10983473,0.121396914,0.0,0.0
mse,15,2.244976282119751,0.039874293,0.016329637,0.016424468,0.032765243,1.0,1.0
mse,16,2.7989695072174072,0.14710517,0.01819385,0.07177401,0.13429046,1.0,0.0
mse,17,3.369098424911499,0.07438592,0.007902302,0.114850014,0.06296043,1.0,1.0
mse,18,3.809821128845215,0.15889204,0.0056525175,0.16816582,0.13718697,0.0,0.0
mse,19,2.3025050163269043,0.07542221,0.023160039,0.014494605,0.062109224,1.0,1.0
mse,20,2.609151601791382,0.07747153,0.007844452,0.046330776,0.06489558,1.0,1.0
mse,21,3.8879752159118652,0.107652314,0.024437763,0.1429249,0.100278944,1.0,0.0
mse,22,1.2203279733657837,0.082737416,0.014422553,0.23664147,0.06380859,1.0,1.0
mse,23,2.8405001163482666,0.094212815,0.013236275,0.09159109,0.079448074,1.0,1.0
mse,24,3.2396481037139893,0.088109225,0.030934315,0.08869279,0.07565465,1.0,1.0
mse,25,3.8980374336242676,0.12650254,0.009496411,0.1990567,0.1088972,0.0,0.0
