episode,gamma,mmr_cost,baseline_cost,median_cost,oracle_cost,mmr_final_distance,mmr_reach,mmr_settled_success
0,0.7414531707763672,0.14192103,0.22893219,0.25449917,0.010956458,0.12260033,1.0,0.0
1,3.277153253555298,0.095241666,0.007171128,0.13688193,0.018020684,0.0908084,1.0,1.0
2,2.7530570030212402,0.044877384,0.06807683,0.07304373,0.004927496,0.03664892,1.0,1.0
3,2.7565739154815674,0.09938494,0.17398882,0.06274931,0.0209202,0.09185784,1.0,1.0
4,1.3784382343292236,0.06602297,0.041840643,0.1923253,0.011262201,0.05372721,1.0,1.0
5,3.2381718158721924,0.21768767,0.17316125,0.12564553,0.0064031286,0.20007195,0.0,0.0
6,3.5830166339874268,0.23998708,0.04613554,0.14422005,0.006711006,0.23207058,1.0,0.0
7,1.018473505973816,0.19359685,0.16970399,0.32450545,0.019358525,0.1650764,0.0,0.0
8,1.5742402076721191,0.19830608,0.17961246,0.15242876,0.011857192,0.17872551,1.0,0.0
9,1.9057780504226685,0.058752753,0.13706498,0.11884769,0.028219398,0.04500182,1.0,1.0
10,1.3025904893875122,0.064324334,0.1116766,0.21141294,0.012328016,0.04896617,1.0,1.0
11,3.91827654838562,0.09152537,0.13076459,0.15826936,0.016754275,0.0785295,1.0,1.0
12,2.304600477218628,0.09595421,0.066251524,0.023375457,0.024298046,0.080622405,0.0,1.0
13,2.2069337368011475,0.07405462,0.14831178,0.018704552,0.013414102,0.059346396,1.0,1.0
14,1.5852508544921875,0.0837922,0.14392632,0.10983473,0.009976015,0.06838948,1.0,1.0
15,2.244976282119751,0.212274,0.039874293,0.016424468,0.016329637,0.20265801,1.0,0.0
16,2.7989695072174072,0.09168918,0.14710517,0.07177401,0.01819385,0.077571474,1.0,1.0
17,3.369098424911499,0.06393621,0.07438592,0.114850014,0.007902302,0.05498972,1.0,1.0
18,3.809821128845215,0.1411464,0.15889204,0.16816582,0.0056525175,0.12185706,0.0,0.0
19,2.3025050163269043,0.0866243,0.07542221,0.014494605,0.023160039,0.07364088,1.0,1.0
20,2.609151601791382,0.0719704,0.07747153,0.046330776,0.007844452,0.061824918,1.0,1.0
21,3.8879752159118652,0.16494574,0.107652314,0.1429249,0.024437763,0.1529527,1.0,0.0
22,1.2203279733657837,0.12100839,0.082737416,0.23664147,0.014422553,0.09626766,0.0,1.0
23,2.8405001163482666,0.086311005,0.094212815,0.09159109,0.013236275,0.072497234,1.0,1.0
24,3.2396481037139893,0.08310083,0.088109225,0.08869279,0.030934315,0.07067568,1.0,1.0
25,3.8980374336242676,0.11055213,0.12650254,0.1990567,0.009496411,0.09464847,0.0,1.0
26,2.948528528213501,0.121399075,0.16087645,0.102496974,0.009231485,0.11196947,1.0,0.0
27,0.900690495967865,0.12127646,0.15839387,0.39355046,0.016624484,0.09470733,0.0,1.0
28,3.3256070613861084,0.13497373,0.16656847,0.13096723,0.009007946,0.11571381,0.0,0.0
29,3.0324599742889404,0.38583747,0.12747125,0.12782273,0.0075189136,0.37580448,1.0,0.0
30,1.222312569618225,0.038429696,0.029447382,0.20711909,0.009475219,0.026359772,1.0,1.0
31,2.1739611625671387,0.034448806,0.04325305,0.0145479925,0.0054123392,0.026590824,1.0,1.0
32,1.5956718921661377,0.19126807,0.11383801,0.089660935,0.008846773,0.1732282,1.0,0.0
